GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0010467	gene expression	3.80937722351545e-15	1.31924748056483e-12	1.53 (201/736; 434/2435)	ostta01g00210 ostta01g00570 ostta01g01210 ostta01g02320 ostta01g02895 ostta01g02970 ostta01g03000 ostta01g03150 ostta01g03380 ostta01g04030 ostta01g04410 ostta01g05360 ostta01g05840 ostta01g06000 ostta02g00300 ostta02g00890 ostta02g01330 ostta02g02700 ostta02g02750 ostta02g03110 ostta02g03140 ostta02g03180 ostta02g03260 ostta02g03900 ostta02g04010 ostta02g04390 ostta02g04560 ostta02g04600 ostta02g04990 ostta02g05200 ostta02g05370 ostta03g00400 ostta03g00850 ostta03g01170 ostta03g01400 ostta03g02150 ostta03g02220 ostta03g02410 ostta03g02530 ostta03g02650 ostta03g02840 ostta03g02860 ostta03g03740 ostta03g04290 ostta03g05320 ostta03g05380 ostta03g05410 ostta03g05880 ostta04g00710 ostta04g00770 ostta04g01270 ostta04g01860 ostta04g02105 ostta04g03090 ostta04g03790 ostta04g04230 ostta04g05030 ostta05g00430 ostta05g01130 ostta05g01450 ostta05g01460 ostta05g01840 ostta05g03580 ostta05g03750 ostta05g03820 ostta05g03870 ostta05g03900 ostta06g01030 ostta06g01040 ostta06g01150 ostta06g01560 ostta06g01640 ostta06g01800 ostta06g02360 ostta06g02880 ostta06g02920 ostta06g03020 ostta06g03332 ostta07g00050 ostta07g01200 ostta07g03020 ostta07g03480 ostta07g03635 ostta07g04320 ostta07g04450 ostta08g00410 ostta08g00580 ostta08g01000 ostta08g01040 ostta08g01400 ostta08g01430 ostta08g01530 ostta08g01750 ostta08g01890 ostta08g02930 ostta08g02990 ostta08g03090 ostta08g03440 ostta08g03590 ostta08g03610 ostta08g03690 ostta08g04080 ostta09g00290 ostta09g00820 ostta09g00930 ostta09g01210 ostta09g02180 ostta09g03180 ostta09g03580 ostta09g03790 ostta09g03960 ostta09g04380 ostta10g00010 ostta10g00250 ostta10g00430 ostta10g01740 ostta10g02015 ostta10g02210 ostta11g00220 ostta11g00530 ostta11g00590 ostta11g00780 ostta11g00980 ostta11g01350 ostta11g01660 ostta11g01750 ostta11g02020 ostta11g02360 ostta11g02380 ostta11g02400 ostta11g02500 ostta11g02730 ostta11g02910 ostta12g01010 ostta12g01710 ostta12g02280 ostta12g02450 ostta12g02760 ostta12g02890 ostta12g02920 ostta12g03150 ostta13g00760 ostta13g00900 ostta13g01310 ostta13g01600 ostta13g02000 ostta13g02140 ostta13g02350 ostta13g03030 ostta14g00140 ostta14g00300 ostta14g00440 ostta14g00750 ostta14g00780 ostta14g00880 ostta14g01070 ostta14g01080 ostta14g01400 ostta14g01950 ostta14g01960 ostta14g02300 ostta14g02635 ostta14g02660 ostta14g02750 ostta15g00045 ostta15g00375 ostta15g00930 ostta15g01180 ostta15g01440 ostta15g01630 ostta15g01650 ostta15g01830 ostta15g02320 ostta15g02870 ostta16g00330 ostta16g00405 ostta16g00610 ostta16g00770 ostta16g01410 ostta16g01480 ostta16g01670 ostta16g01720 ostta16g01730 ostta17g00067 ostta17g00250 ostta17g00360 ostta17g00450 ostta17g01270 ostta17g01350 ostta17g01660 ostta17g01760 ostta17g02240 ostta18g00480 ostta18g00590 ostta18g01160 ostta18g01735 ostta18g01760 ostta20g00300 ostta20g00570 ostta20g00600 ostta20g00850
GO:0006396	RNA processing	5.147493599456e-11	8.91329154853171e-09	1.96 (67/736; 113/2435)	ostta01g02895 ostta01g03000 ostta01g05840 ostta02g01330 ostta02g02750 ostta02g03180 ostta02g04010 ostta03g00400 ostta03g02150 ostta03g02410 ostta03g02530 ostta03g02840 ostta03g03740 ostta03g05380 ostta04g00710 ostta04g00770 ostta04g02105 ostta04g03790 ostta05g01450 ostta05g03750 ostta06g01040 ostta06g01560 ostta06g02880 ostta07g01200 ostta07g03020 ostta07g03480 ostta08g01000 ostta08g01040 ostta08g01400 ostta08g01530 ostta08g02930 ostta08g02990 ostta08g03090 ostta08g03440 ostta08g03590 ostta08g03690 ostta08g04080 ostta09g00290 ostta09g00820 ostta09g01210 ostta09g02180 ostta09g03580 ostta09g03960 ostta09g04380 ostta10g00010 ostta10g01740 ostta11g00220 ostta11g00530 ostta11g00590 ostta11g02910 ostta12g02280 ostta12g02890 ostta12g03150 ostta13g00760 ostta13g02140 ostta14g00300 ostta14g00750 ostta14g00780 ostta14g02635 ostta14g02750 ostta15g01630 ostta15g01650 ostta15g02320 ostta16g00610 ostta17g00250 ostta18g01160 ostta20g00600
GO:0006412	translation	4.20579435109528e-09	3.66719592603295e-07	1.58 (108/736; 226/2435)	ostta01g00210 ostta01g00570 ostta01g02320 ostta01g03150 ostta01g04030 ostta01g04410 ostta01g05360 ostta01g06000 ostta02g00890 ostta02g02700 ostta02g03140 ostta02g03260 ostta02g03900 ostta02g04390 ostta02g04560 ostta02g04600 ostta02g04990 ostta02g05200 ostta02g05370 ostta03g00850 ostta03g01170 ostta03g01400 ostta03g02650 ostta03g02860 ostta03g04290 ostta03g05410 ostta03g05880 ostta04g01270 ostta04g01860 ostta04g03090 ostta04g04230 ostta04g05030 ostta05g00430 ostta05g01130 ostta05g01460 ostta05g03820 ostta05g03870 ostta06g01030 ostta06g01150 ostta06g01640 ostta06g01800 ostta06g02920 ostta06g03020 ostta06g03332 ostta07g00050 ostta07g03020 ostta07g04450 ostta08g00410 ostta08g00580 ostta08g01430 ostta08g01750 ostta08g01890 ostta08g03610 ostta09g00930 ostta09g03180 ostta10g00250 ostta10g02015 ostta10g02210 ostta11g00780 ostta11g00980 ostta11g01350 ostta11g01660 ostta11g01750 ostta11g02020 ostta11g02360 ostta11g02380 ostta11g02400 ostta11g02500 ostta11g02730 ostta12g01010 ostta12g01710 ostta12g02450 ostta12g02760 ostta12g02920 ostta13g00900 ostta13g01600 ostta14g00140 ostta14g00440 ostta14g00880 ostta14g01070 ostta14g01080 ostta14g01950 ostta14g01960 ostta14g02300 ostta14g02660 ostta15g00045 ostta15g00930 ostta15g01180 ostta15g01830 ostta15g02870 ostta16g00330 ostta16g00405 ostta16g00770 ostta16g01410 ostta16g01480 ostta16g01670 ostta16g01720 ostta16g01730 ostta17g00360 ostta17g01270 ostta17g01350 ostta17g01760 ostta17g02240 ostta18g00480 ostta18g00590 ostta18g01735 ostta20g00300 ostta20g00570
GO:0006518	peptide metabolic process	4.23566702702894e-09	3.66719592603295e-07	1.57 (111/736; 234/2435)	ostta01g00210 ostta01g00570 ostta01g02320 ostta01g03150 ostta01g04030 ostta01g04410 ostta01g05360 ostta01g06000 ostta02g00890 ostta02g02700 ostta02g03140 ostta02g03260 ostta02g03900 ostta02g04390 ostta02g04560 ostta02g04600 ostta02g04990 ostta02g05200 ostta02g05370 ostta03g00850 ostta03g01170 ostta03g01400 ostta03g02650 ostta03g02860 ostta03g04290 ostta03g05410 ostta03g05880 ostta04g01270 ostta04g01860 ostta04g03090 ostta04g04230 ostta04g05030 ostta05g00430 ostta05g01130 ostta05g01460 ostta05g01840 ostta05g03820 ostta05g03870 ostta06g01030 ostta06g01150 ostta06g01640 ostta06g01800 ostta06g02920 ostta06g03020 ostta06g03332 ostta07g00050 ostta07g03020 ostta07g04450 ostta08g00410 ostta08g00580 ostta08g01430 ostta08g01750 ostta08g01890 ostta08g03610 ostta09g00930 ostta09g03180 ostta10g00250 ostta10g02015 ostta10g02210 ostta11g00780 ostta11g00980 ostta11g01350 ostta11g01660 ostta11g01750 ostta11g02020 ostta11g02360 ostta11g02380 ostta11g02400 ostta11g02500 ostta11g02730 ostta12g01010 ostta12g01710 ostta12g02450 ostta12g02760 ostta12g02920 ostta13g00900 ostta13g01600 ostta13g02350 ostta13g03030 ostta14g00140 ostta14g00440 ostta14g00880 ostta14g01070 ostta14g01080 ostta14g01950 ostta14g01960 ostta14g02300 ostta14g02660 ostta15g00045 ostta15g00930 ostta15g01180 ostta15g01830 ostta15g02870 ostta16g00330 ostta16g00405 ostta16g00770 ostta16g01410 ostta16g01480 ostta16g01670 ostta16g01720 ostta16g01730 ostta17g00360 ostta17g01270 ostta17g01350 ostta17g01760 ostta17g02240 ostta18g00480 ostta18g00590 ostta18g01735 ostta20g00300 ostta20g00570
GO:0043603	cellular amide metabolic process	6.13176674739048e-09	4.24705528398204e-07	1.54 (118/736; 254/2435)	ostta01g00210 ostta01g00570 ostta01g02320 ostta01g03150 ostta01g04030 ostta01g04410 ostta01g05360 ostta01g06000 ostta02g00890 ostta02g02700 ostta02g03140 ostta02g03260 ostta02g03900 ostta02g04390 ostta02g04560 ostta02g04600 ostta02g04990 ostta02g05200 ostta02g05370 ostta03g00850 ostta03g01170 ostta03g01400 ostta03g02650 ostta03g02860 ostta03g04290 ostta03g05410 ostta03g05880 ostta04g01270 ostta04g01860 ostta04g03090 ostta04g04230 ostta04g05030 ostta05g00430 ostta05g01130 ostta05g01460 ostta05g01840 ostta05g01990 ostta05g03820 ostta05g03870 ostta06g01030 ostta06g01150 ostta06g01640 ostta06g01800 ostta06g02900 ostta06g02920 ostta06g03020 ostta06g03332 ostta07g00050 ostta07g01540 ostta07g03020 ostta07g04450 ostta08g00410 ostta08g00580 ostta08g01430 ostta08g01750 ostta08g01890 ostta08g03610 ostta09g00930 ostta09g02690 ostta09g03000 ostta09g03180 ostta10g00250 ostta10g02015 ostta10g02210 ostta11g00780 ostta11g00980 ostta11g01350 ostta11g01660 ostta11g01750 ostta11g02020 ostta11g02360 ostta11g02380 ostta11g02400 ostta11g02500 ostta11g02730 ostta12g01010 ostta12g01710 ostta12g02450 ostta12g02760 ostta12g02920 ostta13g00900 ostta13g01570 ostta13g01600 ostta13g02350 ostta13g03030 ostta14g00140 ostta14g00440 ostta14g00880 ostta14g01070 ostta14g01080 ostta14g01950 ostta14g01960 ostta14g02300 ostta14g02660 ostta15g00045 ostta15g00930 ostta15g01180 ostta15g01830 ostta15g02870 ostta16g00330 ostta16g00405 ostta16g00770 ostta16g01370 ostta16g01410 ostta16g01480 ostta16g01670 ostta16g01720 ostta16g01730 ostta17g00360 ostta17g01270 ostta17g01350 ostta17g01760 ostta17g02240 ostta18g00480 ostta18g00590 ostta18g01735 ostta20g00300 ostta20g00570
GO:0042254	ribosome biogenesis	7.62791506880567e-09	4.40277904848608e-07	2.67 (25/736; 31/2435)	ostta02g01210 ostta02g01330 ostta02g04010 ostta02g05480 ostta03g03740 ostta04g00770 ostta05g01080 ostta05g01450 ostta05g03750 ostta05g04180 ostta06g01560 ostta07g01200 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta12g02110 ostta13g00670 ostta14g00750 ostta14g00780 ostta15g01610 ostta15g01650 ostta16g00610 ostta17g00250 ostta17g00640
GO:0043043	peptide biosynthetic process	1.07837824727699e-08	5.33513448652828e-07	1.56 (108/736; 229/2435)	ostta01g00210 ostta01g00570 ostta01g02320 ostta01g03150 ostta01g04030 ostta01g04410 ostta01g05360 ostta01g06000 ostta02g00890 ostta02g02700 ostta02g03140 ostta02g03260 ostta02g03900 ostta02g04390 ostta02g04560 ostta02g04600 ostta02g04990 ostta02g05200 ostta02g05370 ostta03g00850 ostta03g01170 ostta03g01400 ostta03g02650 ostta03g02860 ostta03g04290 ostta03g05410 ostta03g05880 ostta04g01270 ostta04g01860 ostta04g03090 ostta04g04230 ostta04g05030 ostta05g00430 ostta05g01130 ostta05g01460 ostta05g03820 ostta05g03870 ostta06g01030 ostta06g01150 ostta06g01640 ostta06g01800 ostta06g02920 ostta06g03020 ostta06g03332 ostta07g00050 ostta07g03020 ostta07g04450 ostta08g00410 ostta08g00580 ostta08g01430 ostta08g01750 ostta08g01890 ostta08g03610 ostta09g00930 ostta09g03180 ostta10g00250 ostta10g02015 ostta10g02210 ostta11g00780 ostta11g00980 ostta11g01350 ostta11g01660 ostta11g01750 ostta11g02020 ostta11g02360 ostta11g02380 ostta11g02400 ostta11g02500 ostta11g02730 ostta12g01010 ostta12g01710 ostta12g02450 ostta12g02760 ostta12g02920 ostta13g00900 ostta13g01600 ostta14g00140 ostta14g00440 ostta14g00880 ostta14g01070 ostta14g01080 ostta14g01950 ostta14g01960 ostta14g02300 ostta14g02660 ostta15g00045 ostta15g00930 ostta15g01180 ostta15g01830 ostta15g02870 ostta16g00330 ostta16g00405 ostta16g00770 ostta16g01410 ostta16g01480 ostta16g01670 ostta16g01720 ostta16g01730 ostta17g00360 ostta17g01270 ostta17g01350 ostta17g01760 ostta17g02240 ostta18g00480 ostta18g00590 ostta18g01735 ostta20g00300 ostta20g00570
GO:0043604	amide biosynthetic process	1.72252266712304e-08	7.4567099668879e-07	1.53 (113/736; 244/2435)	ostta01g00210 ostta01g00570 ostta01g02320 ostta01g03150 ostta01g04030 ostta01g04410 ostta01g05360 ostta01g06000 ostta02g00890 ostta02g02700 ostta02g03140 ostta02g03260 ostta02g03900 ostta02g04390 ostta02g04560 ostta02g04600 ostta02g04990 ostta02g05200 ostta02g05370 ostta03g00850 ostta03g01170 ostta03g01400 ostta03g02650 ostta03g02860 ostta03g04290 ostta03g05410 ostta03g05880 ostta04g01270 ostta04g01860 ostta04g03090 ostta04g04230 ostta04g05030 ostta05g00430 ostta05g01130 ostta05g01460 ostta05g03820 ostta05g03870 ostta06g01030 ostta06g01150 ostta06g01640 ostta06g01800 ostta06g02900 ostta06g02920 ostta06g03020 ostta06g03332 ostta07g00050 ostta07g01540 ostta07g03020 ostta07g04450 ostta08g00410 ostta08g00580 ostta08g01430 ostta08g01750 ostta08g01890 ostta08g03610 ostta09g00930 ostta09g03000 ostta09g03180 ostta10g00250 ostta10g02015 ostta10g02210 ostta11g00780 ostta11g00980 ostta11g01350 ostta11g01660 ostta11g01750 ostta11g02020 ostta11g02360 ostta11g02380 ostta11g02400 ostta11g02500 ostta11g02730 ostta12g01010 ostta12g01710 ostta12g02450 ostta12g02760 ostta12g02920 ostta13g00900 ostta13g01570 ostta13g01600 ostta14g00140 ostta14g00440 ostta14g00880 ostta14g01070 ostta14g01080 ostta14g01950 ostta14g01960 ostta14g02300 ostta14g02660 ostta15g00045 ostta15g00930 ostta15g01180 ostta15g01830 ostta15g02870 ostta16g00330 ostta16g00405 ostta16g00770 ostta16g01370 ostta16g01410 ostta16g01480 ostta16g01670 ostta16g01720 ostta16g01730 ostta17g00360 ostta17g01270 ostta17g01350 ostta17g01760 ostta17g02240 ostta18g00480 ostta18g00590 ostta18g01735 ostta20g00300 ostta20g00570
GO:0022613	ribonucleoprotein complex biogenesis	2.49927674192899e-08	9.61709997771508e-07	2.58 (25/736; 32/2435)	ostta02g01210 ostta02g01330 ostta02g04010 ostta02g05480 ostta03g03740 ostta04g00770 ostta05g01080 ostta05g01450 ostta05g03750 ostta05g04180 ostta06g01560 ostta07g01200 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta12g02110 ostta13g00670 ostta14g00750 ostta14g00780 ostta15g01610 ostta15g01650 ostta16g00610 ostta17g00250 ostta17g00640
GO:0016070	RNA metabolic process	8.71846093672423e-08	3.01934068229713e-06	1.45 (129/736; 294/2435)	ostta01g01210 ostta01g01600 ostta01g01670 ostta01g02895 ostta01g02970 ostta01g03000 ostta01g03380 ostta01g05840 ostta02g00300 ostta02g01330 ostta02g02750 ostta02g03110 ostta02g03180 ostta02g04010 ostta02g04600 ostta02g05280 ostta02g05400 ostta03g00400 ostta03g00490 ostta03g01635 ostta03g02150 ostta03g02220 ostta03g02410 ostta03g02530 ostta03g02840 ostta03g02860 ostta03g03270 ostta03g03740 ostta03g05320 ostta03g05380 ostta04g00600 ostta04g00710 ostta04g00770 ostta04g02105 ostta04g02180 ostta04g03790 ostta05g01450 ostta05g01810 ostta05g03580 ostta05g03750 ostta05g03900 ostta06g01040 ostta06g01490 ostta06g01560 ostta06g02360 ostta06g02880 ostta06g02920 ostta06g04610 ostta07g01200 ostta07g03020 ostta07g03030 ostta07g03480 ostta07g04320 ostta08g01000 ostta08g01040 ostta08g01400 ostta08g01530 ostta08g02680 ostta08g02930 ostta08g02990 ostta08g03090 ostta08g03440 ostta08g03590 ostta08g03610 ostta08g03690 ostta08g04080 ostta09g00290 ostta09g00820 ostta09g01180 ostta09g01210 ostta09g02180 ostta09g03580 ostta09g03790 ostta09g03810 ostta09g03960 ostta09g04380 ostta10g00010 ostta10g00430 ostta10g01740 ostta11g00100 ostta11g00220 ostta11g00530 ostta11g00590 ostta11g00980 ostta11g02020 ostta11g02220 ostta11g02910 ostta12g01740 ostta12g02280 ostta12g02890 ostta12g03150 ostta13g00760 ostta13g00800 ostta13g00900 ostta13g01310 ostta13g01890 ostta13g02000 ostta13g02140 ostta14g00300 ostta14g00330 ostta14g00750 ostta14g00780 ostta14g01080 ostta14g01120 ostta14g01400 ostta14g02635 ostta14g02750 ostta15g00375 ostta15g01370 ostta15g01440 ostta15g01630 ostta15g01650 ostta15g02320 ostta16g00390 ostta16g00610 ostta16g00980 ostta16g01120 ostta17g00067 ostta17g00210 ostta17g00250 ostta17g00390 ostta17g00450 ostta17g01660 ostta17g02200 ostta18g00480 ostta18g01160 ostta18g01760 ostta20g00600 ostta20g00850
