GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0006259	DNA metabolic process	1.15647370465689e-27	3.28682000270906e-25	3.7 (71/336; 139/2435)	ostta01g00090 ostta01g01270 ostta01g02120 ostta01g02580 ostta01g04740 ostta01g05200 ostta01g06330 ostta02g01170 ostta02g01245 ostta02g01247 ostta02g02610 ostta02g03430 ostta03g01680 ostta03g02630 ostta03g03780 ostta03g04030 ostta03g05120 ostta03g05810 ostta04g00450 ostta04g00480 ostta04g02050 ostta04g03490 ostta04g04640 ostta04g04970 ostta04g05230 ostta05g00150 ostta05g00330 ostta05g00500 ostta05g00600 ostta05g01680 ostta05g02940 ostta05g03330 ostta05g04200 ostta06g02150 ostta06g02640 ostta06g02890 ostta06g03480 ostta06g03990 ostta07g00020 ostta08g00710 ostta08g02290 ostta08g03260 ostta08g03680 ostta09g02150 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta11g00910 ostta11g00940 ostta11g01400 ostta11g01690 ostta11g01760 ostta11g01840 ostta12g00110 ostta12g01020 ostta12g01670 ostta12g02485 ostta13g02040 ostta13g02280 ostta14g00420 ostta14g01050 ostta14g02950 ostta15g01090 ostta15g02820 ostta16g00515 ostta16g01940 ostta17g01610 ostta18g01440 ostta20g00860
GO:0006260	DNA replication	2.85556748307573e-16	4.05791168647604e-14	4.68 (31/336; 48/2435)	ostta01g00090 ostta01g02580 ostta01g05200 ostta02g03430 ostta03g04030 ostta04g00450 ostta04g04640 ostta04g04970 ostta05g00150 ostta05g00330 ostta05g01680 ostta05g02940 ostta06g02890 ostta06g03480 ostta08g00710 ostta08g03680 ostta10g00640 ostta11g00910 ostta11g00940 ostta11g01400 ostta11g01760 ostta11g01840 ostta12g00110 ostta12g01020 ostta12g02485 ostta13g02040 ostta14g01050 ostta15g01090 ostta15g02820 ostta17g01610 ostta18g01440
GO:0006261	DNA-dependent DNA replication	3.29384716231854e-08	3.12048678535441e-06	4.83 (14/336; 21/2435)	ostta01g02580 ostta03g04030 ostta04g00450 ostta04g04640 ostta04g04970 ostta05g01680 ostta05g02940 ostta11g00910 ostta11g00940 ostta11g01760 ostta12g01020 ostta13g02040 ostta14g01050 ostta17g01610
GO:0006974	cellular response to DNA damage stimulus	1.00365421662385e-07	6.44325461264536e-06	2.84 (27/336; 69/2435)	ostta01g01270 ostta01g02120 ostta01g04740 ostta02g01170 ostta03g02630 ostta03g05120 ostta04g02050 ostta04g04970 ostta06g02150 ostta06g02640 ostta06g03990 ostta07g00020 ostta08g02290 ostta08g03260 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta11g01690 ostta12g01670 ostta13g02280 ostta14g00420 ostta14g02950 ostta16g00515 ostta16g01940 ostta20g00860
GO:0006950	response to stress	1.13353553370613e-07	6.44325461264536e-06	2.65 (30/336; 82/2435)	ostta01g01270 ostta01g02120 ostta01g02780 ostta01g04740 ostta02g01170 ostta03g02630 ostta03g05120 ostta04g01060 ostta04g01080 ostta04g02050 ostta04g04970 ostta06g02150 ostta06g02640 ostta06g03990 ostta07g00020 ostta08g02290 ostta08g03260 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta11g01690 ostta12g01670 ostta13g02280 ostta14g00420 ostta14g02950 ostta16g00515 ostta16g01940 ostta20g00860
GO:0033554	cellular response to stress	1.43021499757023e-07	6.77470262006952e-06	2.8 (27/336; 70/2435)	ostta01g01270 ostta01g02120 ostta01g04740 ostta02g01170 ostta03g02630 ostta03g05120 ostta04g02050 ostta04g04970 ostta06g02150 ostta06g02640 ostta06g03990 ostta07g00020 ostta08g02290 ostta08g03260 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta11g01690 ostta12g01670 ostta13g02280 ostta14g00420 ostta14g02950 ostta16g00515 ostta16g01940 ostta20g00860
GO:0051716	cellular response to stimulus	1.85413526950624e-07	7.52806801152912e-06	2.29 (38/336; 120/2435)	ostta01g01270 ostta01g02120 ostta01g02780 ostta01g04740 ostta02g01170 ostta03g01890 ostta03g02630 ostta03g05120 ostta04g02050 ostta04g04970 ostta06g01360 ostta06g02150 ostta06g02160 ostta06g02640 ostta06g03990 ostta07g00020 ostta07g04350 ostta08g02290 ostta08g03260 ostta08g04240 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta11g01690 ostta12g01580 ostta12g01670 ostta12g02770 ostta13g00820 ostta13g01820 ostta13g02280 ostta14g00420 ostta14g02950 ostta15g01410 ostta16g00515 ostta16g01940 ostta20g00860
GO:0006281	DNA repair	3.03252007599375e-07	1.07734265857673e-05	2.77 (26/336; 68/2435)	ostta01g01270 ostta01g02120 ostta01g04740 ostta02g01170 ostta03g02630 ostta03g05120 ostta04g02050 ostta06g02150 ostta06g02640 ostta06g03990 ostta07g00020 ostta08g02290 ostta08g03260 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta11g01690 ostta12g01670 ostta13g02280 ostta14g00420 ostta14g02950 ostta16g00515 ostta16g01940 ostta20g00860
GO:0006270	DNA replication initiation	4.25977963907567e-06	0.000134519357023442	5.8 (8/336; 10/2435)	ostta01g02580 ostta04g00450 ostta04g04640 ostta05g01680 ostta11g00910 ostta11g01760 ostta12g01020 ostta14g01050
GO:0006310	DNA recombination	7.04831941662132e-06	0.000200320657103974	5.02 (9/336; 13/2435)	ostta02g01245 ostta02g01247 ostta03g01680 ostta04g00480 ostta04g05230 ostta05g00600 ostta05g04200 ostta10g00640 ostta11g00630
