ZT0_1	ZT0_2	ZT0_3	ZT3_1	ZT3_2	ZT3_3	ZT6_1	ZT6_2	ZT6_3	ZT9_1	ZT9_2	ZT9_3	ZT12_1	ZT12_2	ZT12_3	ZT15_1	ZT15_2	ZT15_3	ZT18_1	ZT18_2	ZT18_3	ZT21_1	ZT21_2	ZT21_3
ostta01g00020	8.213914	8.020356	8.366347	7.955635	7.544027	7.155111	7.946078	7.971638	8.060557	8.01379	7.945138	8.11232	7.355433	7.160799	7.069245	7.246858	7.291757	7.174705	8.053989	7.861328	7.811737	8.211713	8.086501	7.877999
ostta01g00040	7.255036908	6.829411333	6.515928276	7.474926209	7.150623467	7.026621164	7.852349722	8.079578721	8.124543315	7.862823115	8.030048698	8.095502149	7.945263692	8.29948018	8.288687393	7.678873098	7.701034582	7.525674245	7.447801019	7.389747968	7.533945105	7.159061811	6.822401014	6.610527021
ostta01g00050	6.513748	5.564406	5.266403	7.327766	7.957293	7.823486	7.660194	7.729963	7.53627	8.323571	8.143907	7.900328	8.589663	8.176356	8.161513	7.832627	6.874131	6.785049	6.778154	5.69937	5.517458	5.571519	4.975446	4.544416
ostta01g00060	7.457919	7.567142	7.591113	6.803145	7.264232	7.600612	5.803992	5.863047	6.009769	5.773215	5.712926	5.958463	6.949835	7.093925	7.016194	7.815744	7.924268	7.910404	8.302363	8.11382	8.22509	8.044974	7.970394	8.037351
ostta01g00070	8.302256778	8.27048336	8.208689816	7.4447784	8.322442945	8.346270552	6.59721021	6.518141357	6.563973994	6.230276675	6.065159291	6.146869398	6.299385935	5.75977117	5.858759018	5.915301963	5.724663091	5.723179897	7.298547338	6.728075934	6.613533385	7.741654837	7.264626272	7.449457814
ostta01g00080	5.905527153	6.739822246	5.827514272	7.114187748	7.039537945	6.416174935	8.211617882	8.189206413	7.99943422	8.362252331	8.663363064	8.425407983	7.794292504	7.730582136	8.256985114	7.360427251	7.300530226	7.234699946	7.063590087	7.310934166	7.100227914	6.824864491	6.974055498	6.294054828
ostta01g00090	2.857074	2.553255	2.402966	5.33367	4.34669	4.343721	8.350515	8.442189	8.357187	9.555592	9.222712	9.273728	8.698475	7.723939	8.418825	6.005762	4.679066	4.934854	5.236773	4.394103	4.507569	3.668927	2.690762	2.714178
ostta01g00100	7.906193	7.738268	7.691786	7.726995	7.593046	7.629313	7.192483	7.040786	7.098582	7.202758	7.019408	7.038774	7.322618	7.117171	7.216866	7.586995	7.249969	7.433171	7.613076	7.320045	7.391916	7.487456	7.505576	7.427896
ostta01g00110	7.853421277	8.381297745	8.542730895	7.762723208	8.062419075	8.554846827	7.733891918	7.837759762	7.757547162	8.154516985	8.093524995	8.17779383	7.740448193	7.400102468	7.293931507	7.628808366	7.44963248	7.297748581	7.96185876	7.737470039	7.978622861	8.35765332	8.386765644	8.649895147
ostta01g00120	8.491613937	8.132904979	8.077962745	8.419811751	8.174639495	8.254680417	6.855488739	6.949192583	6.87670987	5.931224042	5.864133348	5.837446589	5.178219425	5.965421401	5.256743262	5.864075857	5.770119555	5.52677603	7.232163946	6.58094501	6.51631963	8.190248946	7.882746783	8.12529964
ostta01g00130	5.988187	5.743008	5.496539	8.433983	7.82369	7.869896	8.053376	8.070591	8.147466	7.406324	7.556738	7.642946	7.075411	6.684178	6.66061	7.300817	7.478864	7.494186	7.911242	7.660211	7.752551	8.033875	7.559684	7.611536
ostta01g00140	7.577081386	7.434068236	7.444048727	8.632534643	8.716747762	8.762382159	8.171698847	8.153429097	8.388764688	5.951691929	5.811478658	6.156426267	4.414623597	4.130928817	3.78978605	5.219147595	4.926103912	4.817836361	6.227998551	5.57644726	5.32059448	7.352305591	7.208652266	7.33485551
ostta01g00150	7.003512	7.981595	8.008405	6.299611	6.385139	6.320408	5.927433	5.642047	6.232889	5.436401	5.453925	6.116075	6.648924	6.924146	6.681313	7.72276	7.924498	7.947717	8.133551	8.660658	8.49278	8.205126	8.785609	8.991478
ostta01g00160	8.152025295	7.602507296	7.588138243	7.669859211	6.996365009	6.687394986	7.827160723	7.617508093	7.407836714	7.780720711	7.686303129	7.632936676	7.818907624	7.583846693	7.450373056	7.503935682	7.376276379	7.376712664	7.664935854	7.096656624	6.93568876	7.624140154	7.61963584	7.430653196
ostta01g00170	8.240177	8.196524	8.480911	7.227035	6.909041	6.710263	7.537316	7.358059	7.065888	7.849168	7.914271	7.844169	7.8837	8.089816	8.087299	7.496477	7.563524	7.616109	7.125794	6.995169	6.972021	7.17762	6.971594	6.833498
ostta01g00180	7.664914	8.496141	8.325138	4.704134	5.035529	4.964812	4.444398	4.304573	4.390239	4.589136	4.442153	4.801672	6.219142	6.3221	6.14934	7.242895	7.630037	7.730973	7.83484	8.446189	8.466072	7.826243	8.454797	8.624183
ostta01g00190	8.241049759	8.384109691	8.368282305	5.149759149	5.123892912	4.738909468	3.927733959	3.134017049	3.194378128	3.646411227	3.34078353	3.1929418475	5.891548975	5.773214152	5.437263184	7.290839389	7.365094797	7.234742671	7.617015109	7.660528506	7.705805732	7.027999889	7.279469814	7.231815859
