ZT0_1	ZT4_1	ZT8_1	ZT12_1	ZT16_1	ZT20_1	ZT0_2	ZT4_2	ZT8_2	ZT12_2	ZT16_2	ZT20_2	ZT0_3	ZT4_3	ZT8_3	ZT12_3	ZT16_3	ZT20_3
uriolide	9.6387005855626	9.68436154949785	9.73353159149378	10.0603621730382	10.3607748184019	10.4523843826538	10.4666601101495	9.70703874184887	10.5744188289766	9.96607902154699	10.6329174895236	10.30517578125	10.8871067242443	9.92546376777082	10.2234473337562	10.0358422939068	10.0845849246702	10.1249651584131
neoxanthin	15.2926598148553	15.5619320899091	15.6718355401355	16.0587051722097	16.0677966101695	15.5020890361619	15.4184697088906	15.1179516685846	15.3515964116909	15.9189718599207	16.1239824671259	15.2294921875	15.2942628007403	15.5240159074131	14.8509537981168	15.0075153196901	14.9253731343284	15.0724705007897
prasinoxanthin	27.1715625531501	25.1984696317551	25.5021359956572	26.4291632145816	26.7239709443099	27.0926379484224	25.9318450039339	24.4557920981972	25.6607504581846	26.1525966270126	25.7357545397621	26.18896484375	26.4848858729179	24.1611697187627	24.8255842318388	27.0297144178518	26.5212399540758	26.6677506271486
violaxanthin	14.8042860266783	12.9316116690579	13.9866411763318	13.4406438631791	13.0314769975787	13.7564231859002	15.1406372934697	13.5884158036057	12.7182405710427	14.3662510152406	13.8649390684456	14.17724609375	14.1073411474399	13.1236158407354	12.9701907596234	15.7428604462944	15.2440310222826	15.5904487596395
micromonal	6.96600821245475	6.21951219512195	6.43394934976044	6.71558764350811	6.59322033898305	6.76175382989963	6.70977576711251	6.34349827387802	6.68467251856853	6.65997802302804	6.54592746014161	6.8896484375	7.0302282541641	6.04862715214441	6.37898229009123	5.97988206729102	6.40830384966845	6.21573910619716
antheraxanthin	1.22700877129042	2.67575322812052	1.55538247303453	1.56941649899396	1.38983050847458	1.48393603227201	1.42604248623131	2.46931338703491	1.85444197935758	1.56227604987817	1.7484706902365	1.6455078125	1.37939543491672	3.62917629128664	2.01492901400205	1.5493120591976	1.82056749220928	1.61432686054074
zeaxanthin	3.62028330539155	4.28024868483979	4.01000731667021	4.65617232808616	5	4.49983191663065	3.63886703383163	4.26495972382048	4.20082955531976	4.58410969375567	4.86970762487356	4.66064453125	3.67674275138803	4.14116638487367	4.55676440454701	4.76818129263499	4.82204362801378	4.77329740778593
dihydrolutein	10.3311708822315	12.3935915829747	11.6217045481366	10.9788140608356	10.6174334140436	10.5772463141718	10.3265145554681	12.4136939010357	11.7247033857432	10.9311547465482	10.4498819902702	10.859375	10.1591610117212	12.1115423999238	12.1481192369615	10.4520753844375	10.3657536493357	9.77190374430921
a-carotene	1.2318682119688	1.34146341463415	1.52469966248908	1.22854775713102	1.32445520581114	1.16938001248619	1.26376868607396	1.56789413118527	1.39625735506897	1.09884859777364	1.35831607340687	1.14990234375	1.27822331893893	1.38832662586622	1.79294530906962	0.987397386981154	1.15279177112866	1.55858032147171
b-carotene	9.71645163641665	9.71305595408895	9.96011234629092	8.8625872884365	8.89104116222761	8.70431734140134	9.67741935483871	10.0714422708094	9.83408893604707	8.75973436529549	8.67010259621406	8.89404296875	9.70265268352868	9.9468959112233	10.2380836219935	8.44721933171465	8.65531057428712	8.61051751370436
lutein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
