,G1,G2,S
ZT0-1,69.6,18.6,7.03
ZT4-1,73.4,16.4,5.62
ZT8-1,82,11.2,4.1
ZT12-1,78.4,10.6,10.7
ZT16-1,58.5,21.7,18.2
ZT20-1,56.4,22,17.4
ZT0-2,68.8,19.3,6.65
ZT4-2,76.2,13.6,7.19
ZT8-2,79.5,13.7,5.85
ZT12-2,72.6,13.8,9.7
ZT16-2,70,17.6,9.98
ZT20-2,65.2,18.5,13.9
ZT0-3,70.5,21.5,5.67
ZT4-3,73.1,18.8,5.75
ZT8-3,76.1,19,3.75
ZT12-3,73.6,16,7.01
ZT16-3,64.8,19.1,10.4
ZT20-3,67.2,17.8,12.6
ZT0-4,71.2,19.5,6.72
ZT4-4,71.2,21,5.71
ZT8-4,74,18,5.64
ZT12-4,69,15.5,10.4
ZT16-4,68.3,17.9,10.5
ZT20-4,63.6,20.9,9.7
