,G1,G2,S
ZT0-1,75.5,17.5,4.34
ZT4-1,79.6,16.4,2.52
ZT8-1,74,18.8,4.24
ZT12-1,68.4,16.9,10.3
ZT16-1,71.4,17.5,8.41
ZT20-1,69.8,22.1,5.87
ZT0-2,71.9,20.2,5.31
ZT4-2,75.1,16.2,6.54
ZT8-2,76.3,14.5,5.05
ZT12-2,68.5,17.4,10.7
ZT16-2,67.2,21.4,8.72
ZT20-2,71.1,14.7,9.85
ZT0-3,71.3,16.7,9.4
ZT4-3,76.5,14.4,6.19
ZT8-3,72.6,17.7,6.59
ZT12-3,67.1,15.6,13.1
ZT16-3,65.2,17.5,13.4
ZT20-3,68.1,18.9,8.29
ZT0-4,72,18.8,7.33
ZT4-4,75.4,16.3,6.59
ZT8-4,75.5,12.7,7.26
ZT12-4,72.2,18.2,7.33
ZT16-4,70.3,20.9,6.57
ZT20-4,69.4,19.5,8.62
