Photoperiod,Time,G1,G2,S
LD,ZT0,69.6,18.6,7.03
LD,ZT4,73.4,16.4,5.62
LD,ZT8,82,11.2,4.1
LD,ZT12,78.4,10.6,10.7
LD,ZT16,58.5,21.7,18.2
LD,ZT20,56.4,22,17.4
LD,ZT0,70.5,21.5,5.67
LD,ZT4,73.1,18.8,5.75
LD,ZT8,76.1,19,3.75
LD,ZT12,73.6,16,7.01
LD,ZT16,64.8,19.1,10.4
LD,ZT20,67.2,17.8,12.6
LD,ZT0,71.2,19.5,6.72
LD,ZT4,71.2,21,5.71
LD,ZT8,74,18,5.64
LD,ZT12,69,15.5,10.4
LD,ZT16,68.3,17.9,10.5
LD,ZT20,63.6,20.9,9.7
SD,ZT0,75.5,17.5,4.34
SD,ZT4,79.6,16.4,2.52
SD,ZT8,74,18.8,4.24
SD,ZT12,68.4,16.9,10.3
SD,ZT16,71.4,17.5,8.41
SD,ZT20,69.8,22.1,5.87
SD,ZT0,71.9,20.2,5.31
SD,ZT4,75.1,16.2,6.54
SD,ZT8,76.3,14.5,5.05
SD,ZT12,68.5,17.4,10.7
SD,ZT16,67.2,21.4,8.72
SD,ZT20,71.1,14.7,9.85
SD,ZT0,71.3,16.7,9.4
SD,ZT4,76.5,14.4,6.19
SD,ZT8,72.6,17.7,6.59
SD,ZT12,67.1,15.6,13.1
SD,ZT16,65.2,17.5,13.4
SD,ZT20,68.1,18.9,8.29
