NR,GS,Time,Condition
1.129545455,0.07,ZT0_1,LD
1.142857143,0.05775,ZT4_1,LD
1.072727273,0.040908,ZT8_1,LD
1.256818182,0.071946,ZT12_1,LD
0.933333333,0.0428358,ZT16_1,LD
0.845454545,0.032088,ZT20_1,LD
1.254545455,0.043806,ZT0_2,LD
1.1,0.08064,ZT4_2,LD
1.5,0.051366,ZT8_2,LD
1.268181818,0.03864,ZT12_2,LD
1.018181818,0.037968,ZT16_2,LD
1.145454545,0.042126,ZT20_2,LD
2.757575758,0.156888,ZT0_1,SD
2.959090909,0.223776,ZT4_1,SD
3.277272727,0.156576,ZT8_1,SD
2.381818182,0.168336,ZT12_1,SD
2.036363636,0.169512,ZT16_1,SD
2.768181818,0.161448,ZT20_1,SD
2.459090909,0.190008,ZT0_2,SD
2.322727273,0.18732,ZT4_2,SD
3.095454545,0.18396,ZT8_2,SD
2.521212121,0.123312,ZT12_2,SD
2.478787879,0.13776,ZT16_2,SD
1.865909091,0.154896,ZT20_2,SD
