GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0015031	protein transport	0.000212956819331852	0.0159969827948744	3.07 (13/92; 112/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0015833	peptide transport	0.000233220639306858	0.0159969827948744	3.04 (13/92; 113/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0042886	amide transport	0.000233220639306858	0.0159969827948744	3.04 (13/92; 113/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0045184	establishment of protein localization	0.000304263256045625	0.0159969827948744	2.97 (13/92; 116/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0006886	intracellular protein transport	0.000320115511481442	0.0159969827948744	3.35 (11/92; 87/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600
GO:0008104	protein localization	0.000393098461884983	0.0159969827948744	2.89 (13/92; 119/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0071705	nitrogen compound transport	0.000463905267503023	0.0159969827948744	2.84 (13/92; 121/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0034613	cellular protein localization	0.000577269952596046	0.0159969827948744	3.13 (11/92; 93/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600
GO:0070727	cellular macromolecule localization	0.000577269952596046	0.0159969827948744	3.13 (11/92; 93/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600
GO:0033036	macromolecule localization	0.000638535027526499	0.0159969827948744	2.75 (13/92; 125/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0046907	intracellular transport	0.000830779849877511	0.0173443512518287	3 (11/92; 97/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600
GO:0051649	establishment of localization in cell	0.000830779849877511	0.0173443512518287	3 (11/92; 97/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600
GO:0016192	vesicle-mediated transport	0.000976134341735653	0.0188113338731243	3.78 (8/92; 56/2435)	ostta02g02680 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta06g03170 ostta12g01130 ostta13g02600
GO:0071702	organic substance transport	0.00152935547220311	0.0273674137131082	2.51 (13/92; 137/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940
GO:0051641	cellular localization	0.00204016878709646	0.034074397987997	2.7 (11/92; 108/2435)	ostta01g04100 ostta02g02680 ostta02g03390 ostta02g03490 ostta04g00840 ostta04g02610 ostta04g04110 ostta05g03640 ostta12g01130 ostta13g01170 ostta13g02600
GO:0043648	dicarboxylic acid metabolic process	0.00311278110767778	0.0487395989228495	6.23 (4/92; 17/2435)	ostta06g00150 ostta07g01040 ostta08g00050 ostta18g01010
GO:0006108	malate metabolic process	0.00516526051872848	0.0761196286970513	7.94 (3/92; 10/2435)	ostta06g00150 ostta07g01040 ostta08g00050
GO:0005975	carbohydrate metabolic process	0.0416796000173886	0.41418221301955	1.92 (9/92; 124/2435)	ostta04g00380 ostta04g02390 ostta05g04070 ostta06g00150 ostta08g00050 ostta11g00800 ostta12g00320 ostta17g01280 ostta17g02090
GO:0016052	carbohydrate catabolic process	0.042409843302074	0.41418221301955	3.78 (3/92; 21/2435)	ostta04g00380 ostta06g00150 ostta12g00320
GO:0009150	purine ribonucleotide metabolic process	0.0474552762218986	0.41418221301955	2.5 (5/92; 53/2435)	ostta04g00380 ostta06g00150 ostta08g00620 ostta09g00792 ostta11g03110
