GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0000271	polysaccharide biosynthetic process	3.66041323168669e-05	0.00297703805854298	11.75 (5/74; 14/2435)	ostta03g00870 ostta06g02940 ostta16g01010 ostta19g00480 ostta19g00500
GO:0033692	cellular polysaccharide biosynthetic process	3.66041323168669e-05	0.00297703805854298	11.75 (5/74; 14/2435)	ostta03g00870 ostta06g02940 ostta16g01010 ostta19g00480 ostta19g00500
GO:0044264	cellular polysaccharide metabolic process	5.36111763078743e-05	0.00297703805854298	10.97 (5/74; 15/2435)	ostta03g00870 ostta06g02940 ostta16g01010 ostta19g00480 ostta19g00500
GO:0016051	carbohydrate biosynthetic process	5.60036862498184e-05	0.00297703805854298	8.23 (6/74; 24/2435)	ostta01g01510 ostta03g00870 ostta06g02940 ostta16g01010 ostta19g00480 ostta19g00500
GO:0005976	polysaccharide metabolic process	0.00010532472425952	0.00447907248429957	9.68 (5/74; 17/2435)	ostta03g00870 ostta06g02940 ostta16g01010 ostta19g00480 ostta19g00500
GO:0034637	cellular carbohydrate biosynthetic process	0.000142398574558466	0.00504640562470354	9.14 (5/74; 18/2435)	ostta03g00870 ostta06g02940 ostta16g01010 ostta19g00480 ostta19g00500
GO:0005975	carbohydrate metabolic process	0.00103119003078926	0.0287877486385397	2.92 (11/74; 124/2435)	ostta01g01510 ostta01g03050 ostta02g03360 ostta03g00870 ostta05g03020 ostta06g02940 ostta10g00260 ostta10g00500 ostta16g01010 ostta19g00480 ostta19g00500
GO:0044262	cellular carbohydrate metabolic process	0.00108310341412328	0.0287877486385397	6.09 (5/74; 27/2435)	ostta03g00870 ostta06g02940 ostta16g01010 ostta19g00480 ostta19g00500
GO:0008610	lipid biosynthetic process	0.00681396958658141	0.160985012454906	3.46 (6/74; 57/2435)	ostta01g06660 ostta15g01140 ostta16g01010 ostta17g01400 ostta19g00480 ostta19g00500
GO:1903509	liposaccharide metabolic process	0.0113509490309494	0.241357021500187	6.17 (3/74; 16/2435)	ostta16g01010 ostta19g00480 ostta19g00500
GO:0044255	cellular lipid metabolic process	0.0157929403913575	0.305279804694183	2.9 (6/74; 68/2435)	ostta01g06660 ostta15g01140 ostta16g01010 ostta17g01400 ostta19g00480 ostta19g00500
GO:0006629	lipid metabolic process	0.043172750410915	0.764990840614459	2.13 (7/74; 108/2435)	ostta01g06660 ostta06g03260 ostta15g01140 ostta16g01010 ostta17g01400 ostta19g00480 ostta19g00500
