GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0016192	vesicle-mediated transport	0.000866953779811959	0.268043297748947	2.08 (19/398; 56/2435)	ostta01g02350 ostta01g04440 ostta02g02420 ostta02g02680 ostta03g05710 ostta04g00840 ostta04g01570 ostta04g02610 ostta04g04110 ostta05g03640 ostta06g03170 ostta06g03310 ostta09g02670 ostta09g03760 ostta12g00530 ostta12g01130 ostta13g02600 ostta15g00230 ostta04g00740
GO:0006108	malate metabolic process	0.00214488849346985	0.268043297748947	3.67 (6/398; 10/2435)	ostta01g00040 ostta04g03550 ostta06g00150 ostta07g01040 ostta08g00050 ostta12g02650
GO:0006260	DNA replication	0.00271229767615718	0.268043297748947	2.04 (16/398; 48/2435)	ostta01g00090 ostta02g00500 ostta02g00555 ostta04g00450 ostta06g02890 ostta06g03480 ostta08g00710 ostta10g00640 ostta11g00910 ostta11g00940 ostta11g01400 ostta12g00110 ostta14g01050 ostta15g01090 ostta18g01440 ostta12g02485
GO:0001505	regulation of neurotransmitter levels	0.00407424174983761	0.268043297748947	3.34 (6/398; 11/2435)	ostta01g05920 ostta03g00920 ostta10g02780 ostta15g02900 ostta17g00030 ostta18g00120
GO:0042133	neurotransmitter metabolic process	0.00407424174983761	0.268043297748947	3.34 (6/398; 11/2435)	ostta01g05920 ostta03g00920 ostta10g02780 ostta15g02900 ostta17g00030 ostta18g00120
GO:0044281	small molecule metabolic process	0.00549298187082554	0.268043297748947	1.31 (70/398; 326/2435)	ostta01g00040 ostta01g02650 ostta01g02770 ostta01g03120 ostta01g05920 ostta01g06430 ostta02g01970 ostta02g02860 ostta02g03070 ostta02g05090 ostta03g00920 ostta03g01160 ostta03g01300 ostta03g02300 ostta03g02820 ostta03g03750 ostta03g04150 ostta03g04620 ostta04g00380 ostta04g00750 ostta04g03550 ostta05g00100 ostta05g00490 ostta05g04590 ostta06g00050 ostta06g00150 ostta06g00520 ostta06g00880 ostta06g03510 ostta07g01040 ostta07g01540 ostta08g00050 ostta08g00560 ostta08g00620 ostta08g02010 ostta08g02240 ostta08g03610 ostta08g03770 ostta09g00792 ostta09g00970 ostta09g02690 ostta10g00580 ostta10g02780 ostta10g02850 ostta10g03010 ostta10g03420 ostta11g01580 ostta11g03110 ostta12g00480 ostta12g00960 ostta12g01530 ostta14g01840 ostta14g03050 ostta15g00060 ostta15g00650 ostta15g01890 ostta15g02810 ostta15g02900 ostta16g01690 ostta16g02030 ostta16g02560 ostta17g02305 ostta18g00120 ostta18g00940 ostta18g01010 ostta04g01610 ostta07g02810 ostta09g02590 ostta12g02650 ostta15g00620
GO:0045184	establishment of protein localization	0.00940456413080212	0.268043297748947	1.53 (29/398; 116/2435)	ostta01g02350 ostta01g04100 ostta01g04440 ostta01g05340 ostta02g02420 ostta02g02680 ostta02g03390 ostta02g03490 ostta03g00300 ostta03g02230 ostta04g00840 ostta04g01570 ostta04g02520 ostta04g02610 ostta04g03190 ostta04g04110 ostta05g03640 ostta08g02570 ostta09g02670 ostta09g03465 ostta12g00530 ostta12g01130 ostta12g02000 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940 ostta06g00380 ostta06g00850
GO:0015031	protein transport	0.0106387175769336	0.268043297748947	1.53 (28/398; 112/2435)	ostta01g02350 ostta01g04100 ostta01g04440 ostta01g05340 ostta02g02420 ostta02g02680 ostta02g03390 ostta02g03490 ostta03g00300 ostta04g00840 ostta04g01570 ostta04g02520 ostta04g02610 ostta04g03190 ostta04g04110 ostta05g03640 ostta08g02570 ostta09g02670 ostta09g03465 ostta12g00530 ostta12g01130 ostta12g02000 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940 ostta06g00380 ostta06g00850
GO:0015833	peptide transport	0.0120430897442059	0.268043297748947	1.52 (28/398; 113/2435)	ostta01g02350 ostta01g04100 ostta01g04440 ostta01g05340 ostta02g02420 ostta02g02680 ostta02g03390 ostta02g03490 ostta03g00300 ostta04g00840 ostta04g01570 ostta04g02520 ostta04g02610 ostta04g03190 ostta04g04110 ostta05g03640 ostta08g02570 ostta09g02670 ostta09g03465 ostta12g00530 ostta12g01130 ostta12g02000 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940 ostta06g00380 ostta06g00850
GO:0042886	amide transport	0.0120430897442059	0.268043297748947	1.52 (28/398; 113/2435)	ostta01g02350 ostta01g04100 ostta01g04440 ostta01g05340 ostta02g02420 ostta02g02680 ostta02g03390 ostta02g03490 ostta03g00300 ostta04g00840 ostta04g01570 ostta04g02520 ostta04g02610 ostta04g03190 ostta04g04110 ostta05g03640 ostta08g02570 ostta09g02670 ostta09g03465 ostta12g00530 ostta12g01130 ostta12g02000 ostta13g01170 ostta13g02600 ostta17g02070 ostta18g01940 ostta06g00380 ostta06g00850
GO:0019752	carboxylic acid metabolic process	0.0122226374308853	0.268043297748947	1.37 (45/398; 201/2435)	ostta01g00040 ostta01g02650 ostta01g05920 ostta02g01970 ostta02g02860 ostta03g00920 ostta03g02300 ostta03g02820 ostta03g03750 ostta03g04620 ostta04g00380 ostta04g03550 ostta05g00100 ostta05g00490 ostta06g00150 ostta06g03510 ostta07g01040 ostta07g01540 ostta08g00050 ostta08g02010 ostta08g02240 ostta08g03610 ostta08g03770 ostta09g00970 ostta09g02690 ostta10g00580 ostta10g02780 ostta12g01530 ostta14g01840 ostta14g03050 ostta15g00060 ostta15g00650 ostta15g01890 ostta15g02810 ostta15g02900 ostta16g02030 ostta16g02560 ostta18g00120 ostta18g00940 ostta18g01010 ostta04g01610 ostta07g02810 ostta09g02590 ostta12g02650 ostta15g00620
GO:0043648	dicarboxylic acid metabolic process	0.0129283212922751	0.268043297748947	2.52 (7/398; 17/2435)	ostta01g00040 ostta04g03550 ostta06g00150 ostta07g01040 ostta08g00050 ostta18g01010 ostta12g02650
GO:0072527	pyrimidine-containing compound metabolic process	0.0129283212922751	0.268043297748947	2.52 (7/398; 17/2435)	ostta01g05920 ostta03g01160 ostta10g02850 ostta11g03110 ostta12g00960 ostta15g00060 ostta17g02305
GO:0006082	organic acid metabolic process	0.0133743811906209	0.268043297748947	1.36 (45/398; 202/2435)	ostta01g00040 ostta01g02650 ostta01g05920 ostta02g01970 ostta02g02860 ostta03g00920 ostta03g02300 ostta03g02820 ostta03g03750 ostta03g04620 ostta04g00380 ostta04g03550 ostta05g00100 ostta05g00490 ostta06g00150 ostta06g03510 ostta07g01040 ostta07g01540 ostta08g00050 ostta08g02010 ostta08g02240 ostta08g03610 ostta08g03770 ostta09g00970 ostta09g02690 ostta10g00580 ostta10g02780 ostta12g01530 ostta14g01840 ostta14g03050 ostta15g00060 ostta15g00650 ostta15g01890 ostta15g02810 ostta15g02900 ostta16g02030 ostta16g02560 ostta18g00120 ostta18g00940 ostta18g01010 ostta04g01610 ostta07g02810 ostta09g02590 ostta12g02650 ostta15g00620
