GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0006082	organic acid metabolic process	0.00103401802478698	0.116433884416491	1.4 (66/569; 202/2435)	ostta03g04670 ostta10g03200 ostta01g04340 ostta01g00620 ostta05g01710 ostta03g00920 ostta06g02530 ostta04g04740 ostta11g02560 ostta18g00940 ostta03g02860 ostta08g01740 ostta18g01010 ostta07g02250 ostta08g03770 ostta14g02420 ostta01g01460 ostta09g00970 ostta14g01840 ostta03g04620 ostta14g00080 ostta02g01790 ostta01g05920 ostta15g00620 ostta16g02560 ostta03g05145 ostta07g01110 ostta08g01180 ostta12g02970 ostta12g03060 ostta02g03640 ostta14g03050 ostta05g01350 ostta06g00460 ostta06g01790 ostta16g00550 ostta01g02220 ostta15g00650 ostta15g01140 ostta08g03610 ostta09g03060 ostta15g01210 ostta03g04010 ostta14g01080 ostta13g00100 ostta01g06660 ostta02g01980 ostta15g02900 ostta10g00580 ostta11g02320 ostta10g02610 ostta05g01820 ostta02g03460 ostta02g02240 ostta05g04420 ostta07g00060 ostta04g03030 ostta08g02240 ostta03g02820 ostta08g02010 ostta15g00830 ostta11g02020 ostta15g02810 ostta06g02270 ostta07g03550 ostta09g01790
GO:0043436	oxoacid metabolic process	0.00103401802478698	0.116433884416491	1.4 (66/569; 202/2435)	ostta03g04670 ostta10g03200 ostta01g04340 ostta01g00620 ostta05g01710 ostta03g00920 ostta06g02530 ostta04g04740 ostta11g02560 ostta18g00940 ostta03g02860 ostta08g01740 ostta18g01010 ostta07g02250 ostta08g03770 ostta14g02420 ostta01g01460 ostta09g00970 ostta14g01840 ostta03g04620 ostta14g00080 ostta02g01790 ostta01g05920 ostta15g00620 ostta16g02560 ostta03g05145 ostta07g01110 ostta08g01180 ostta12g02970 ostta12g03060 ostta02g03640 ostta14g03050 ostta05g01350 ostta06g00460 ostta06g01790 ostta16g00550 ostta01g02220 ostta15g00650 ostta15g01140 ostta08g03610 ostta09g03060 ostta15g01210 ostta03g04010 ostta14g01080 ostta13g00100 ostta01g06660 ostta02g01980 ostta15g02900 ostta10g00580 ostta11g02320 ostta10g02610 ostta05g01820 ostta02g03460 ostta02g02240 ostta05g04420 ostta07g00060 ostta04g03030 ostta08g02240 ostta03g02820 ostta08g02010 ostta15g00830 ostta11g02020 ostta15g02810 ostta06g02270 ostta07g03550 ostta09g01790
GO:0019752	carboxylic acid metabolic process	0.00153001051173609	0.116433884416491	1.38 (65/569; 201/2435)	ostta03g04670 ostta10g03200 ostta01g04340 ostta05g01710 ostta03g00920 ostta06g02530 ostta04g04740 ostta11g02560 ostta18g00940 ostta03g02860 ostta08g01740 ostta18g01010 ostta07g02250 ostta08g03770 ostta14g02420 ostta01g01460 ostta09g00970 ostta14g01840 ostta03g04620 ostta14g00080 ostta02g01790 ostta01g05920 ostta15g00620 ostta16g02560 ostta03g05145 ostta07g01110 ostta08g01180 ostta12g02970 ostta12g03060 ostta02g03640 ostta14g03050 ostta05g01350 ostta06g00460 ostta06g01790 ostta16g00550 ostta01g02220 ostta15g00650 ostta15g01140 ostta08g03610 ostta09g03060 ostta15g01210 ostta03g04010 ostta14g01080 ostta13g00100 ostta01g06660 ostta02g01980 ostta15g02900 ostta10g00580 ostta11g02320 ostta10g02610 ostta05g01820 ostta02g03460 ostta02g02240 ostta05g04420 ostta07g00060 ostta04g03030 ostta08g02240 ostta03g02820 ostta08g02010 ostta15g00830 ostta11g02020 ostta15g02810 ostta06g02270 ostta07g03550 ostta09g01790
GO:0006520	cellular amino acid metabolic process	0.00154363133436767	0.116433884416491	1.48 (47/569; 136/2435)	ostta03g04670 ostta10g03200 ostta01g04340 ostta05g01710 ostta03g00920 ostta06g02530 ostta04g04740 ostta11g02560 ostta03g02860 ostta08g01740 ostta18g01010 ostta07g02250 ostta08g03770 ostta14g02420 ostta01g01460 ostta09g00970 ostta14g01840 ostta02g01790 ostta01g05920 ostta15g00620 ostta16g02560 ostta03g05145 ostta07g01110 ostta12g02970 ostta12g03060 ostta02g03640 ostta14g03050 ostta05g01350 ostta06g00460 ostta06g01790 ostta08g03610 ostta14g01080 ostta13g00100 ostta02g01980 ostta15g02900 ostta11g02320 ostta10g02610 ostta05g01820 ostta05g04420 ostta07g00060 ostta08g02240 ostta03g02820 ostta08g02010 ostta15g00830 ostta11g02020 ostta15g02810 ostta07g03550
GO:0044281	small molecule metabolic process	0.00166584623788655	0.116433884416491	1.29 (98/569; 326/2435)	ostta03g04670 ostta08g00980 ostta10g03200 ostta01g04340 ostta01g00620 ostta05g01710 ostta08g02470 ostta03g00920 ostta06g02530 ostta04g04740 ostta11g02560 ostta18g00940 ostta03g02860 ostta08g01740 ostta18g01010 ostta01g03600 ostta07g02250 ostta08g03770 ostta14g02420 ostta15g01700 ostta01g01460 ostta09g00970 ostta14g01840 ostta03g04620 ostta14g00080 ostta02g01790 ostta01g05920 ostta15g00620 ostta16g02560 ostta09g01080 ostta01g06390 ostta03g05145 ostta07g01110 ostta01g01510 ostta08g01180 ostta12g02970 ostta12g03060 ostta02g03640 ostta14g03050 ostta12g01290 ostta05g01350 ostta06g00460 ostta05g04130 ostta06g01790 ostta05g00220 ostta16g00550 ostta01g02220 ostta15g00650 ostta15g01140 ostta07g01350 ostta08g03610 ostta02g04470 ostta09g03060 ostta10g01310 ostta05g04980 ostta05g00940 ostta15g01210 ostta03g04010 ostta14g01080 ostta03g01300 ostta13g00100 ostta01g06660 ostta09g00580 ostta02g01980 ostta12g00240 ostta16g01690 ostta15g02900 ostta10g00580 ostta11g02320 ostta06g00880 ostta10g02610 ostta02g03070 ostta16g01270 ostta05g01820 ostta02g03460 ostta10g00780 ostta02g02240 ostta04g00750 ostta05g04420 ostta07g00060 ostta16g01450 ostta04g03030 ostta08g00560 ostta05g01970 ostta08g02240 ostta03g02820 ostta08g02010 ostta15g00830 ostta06g00520 ostta11g02020 ostta15g02810 ostta06g02270 ostta02g00810 ostta07g03550 ostta01g03770 ostta02g00940 ostta17g01800 ostta09g01790
GO:0034637	cellular carbohydrate biosynthetic process	0.00309126167318006	0.167811329617229	2.38 (10/569; 18/2435)	ostta03g00870 ostta06g02940 ostta01g02440 ostta07g03070 ostta20g00490 ostta16g01010 ostta20g00830 ostta02g03070 ostta19g00480 ostta19g00500
GO:0006418	tRNA aminoacylation for protein translation	0.00376204829344038	0.167811329617229	1.83 (18/569; 42/2435)	ostta01g04340 ostta06g02530 ostta04g04740 ostta11g02560 ostta03g02860 ostta08g01740 ostta08g03770 ostta01g01460 ostta14g01840 ostta02g01790 ostta15g00620 ostta03g05145 ostta06g00460 ostta06g01790 ostta08g03610 ostta14g01080 ostta08g02010 ostta11g02020
GO:0016051	carbohydrate biosynthetic process	0.00384146417196065	0.167811329617229	2.14 (12/569; 24/2435)	ostta08g00980 ostta03g00870 ostta06g02940 ostta01g02440 ostta07g03070 ostta20g00490 ostta01g01510 ostta16g01010 ostta20g00830 ostta02g03070 ostta19g00480 ostta19g00500
GO:0043038	amino acid activation	0.00509617066809725	0.178097753874556	1.79 (18/569; 43/2435)	ostta01g04340 ostta06g02530 ostta04g04740 ostta11g02560 ostta03g02860 ostta08g01740 ostta08g03770 ostta01g01460 ostta14g01840 ostta02g01790 ostta15g00620 ostta03g05145 ostta06g00460 ostta06g01790 ostta08g03610 ostta14g01080 ostta08g02010 ostta11g02020
GO:0043039	tRNA aminoacylation	0.00509617066809725	0.178097753874556	1.79 (18/569; 43/2435)	ostta01g04340 ostta06g02530 ostta04g04740 ostta11g02560 ostta03g02860 ostta08g01740 ostta08g03770 ostta01g01460 ostta14g01840 ostta02g01790 ostta15g00620 ostta03g05145 ostta06g00460 ostta06g01790 ostta08g03610 ostta14g01080 ostta08g02010 ostta11g02020
