ProtID	zt0_1	zt0_2	zt0_3	zt0_4	zt0_5	zt0_6	zt0_7	zt0_8	zt0_9	zt4_1	zt4_2	zt4_3	zt4_4	zt4_5	zt4_6	zt4_7	zt4_8	zt4_9	zt8_1	zt8_2	zt8_3	zt8_4	zt8_5	zt8_6	zt8_7	zt8_8	zt8_9	zt12_1	zt12_2	zt12_3	zt12_4	zt12_5	zt12_6	zt12_7	zt12_8	zt12_9	zt16_1	zt16_2	zt16_3	zt16_4	zt16_5	zt16_6	zt16_7	zt16_8	zt16_9	zt20_1	zt20_2	zt20_3	zt20_4	zt20_5	zt20_6	zt20_7	zt20_8	zt20_9
ostta01g00010	260847.147488324	246855.414882396	207810.06594901	105695.535293431	68788.7660443432	91761.2178526787	204125.579577176	168569.150829072	139864.773224594	NA	NA	NA	NA	NA	NA	145891.684320842	162603.914094517	176014.61596831	146847.153438417	134361.370799222	133574.987862197	104082.382752884	112633.458653727	96850.0586507776	130903.096110199	153806.592151111	51947.5130322489	NA	NA	NA	NA	NA	NA	107808.484798305	107097.52736437	91708.6847792275	69738.6350546376	176390.370798644	33598.4348337015	71771.8452534371	167594.679111267	25327.4154202231	98334.7773616676	125231.872543559	125459.439434935	58149.8016187407	167594.679111267	151522.224293548	135677.21933595	150613.235434587	134777.956715922	204125.579577176	168569.150829072	139864.773224594
ostta01g00020	867297.766463942	825591.538739689	730067.682210278	112336.121999215	177096.449896411	537335.804926726	427014.191382403	463098.00532557	339429.523353522	123268.477670987	108292.48923104	116251.844853761	7611.72889006684	44554.0294120764	26996.1926150308	383975.028262042	354668.754255289	367814.973761521	286481.260657149	286549.077531283	273947.015681023	180272.130785333	181852.332289286	114515.00193025	381839.612151025	316722.507939468	424663.749286216	341031.214345542	490522.960114689	592285.466017927	92188.5193491409	104671.78425331	109112.675814428	161411.301352593	224530.553100466	240576.354337563	342555.076567164	371586.100114106	232289.787203522	25510.4139335603	26380.3032862286	92472.5119452774	54687.8061044567	54653.9646630632	66640.2843555913	343073.067694923	26380.3032862286	26992.4946495178	224306.076275247	215683.403557119	198183.790835135	427014.191382403	463098.00532557	339429.523353522
ostta01g00040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	212405.527763631	190082.471577864	187835.738726801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	162282.683079655	191178.908956965	172838.471259768	110417.933299306	95995.5551074387	79400.6899084207	NA	NA	NA	NA	NA	NA	NA	NA	NA	98436.6793194529	86068.3520214961	77205.2148131533	NA	NA	NA
ostta01g00070	618364.046118316	550309.87143125	530614.405618829	114280.954595477	142964.763568726	153821.811689381	302891.62205148	327981.136960748	135820.641299446	744612.410218021	688645.014639048	672651.866832363	143557.455581411	154723.834427955	166748.353901544	621455.368991311	718508.365551584	689921.684945727	571857.20517576	560904.862628616	578992.984722029	366687.408719693	362097.616375494	328485.499480147	596432.962465884	623609.92905761	676041.544241543	285756.530160468	285290.723476902	259386.725873014	82833.6365630554	71115.6865033372	42210.6248417864	204096.020622223	200072.445870203	227792.712410364	314204.382037068	351200.961085848	346333.334719674	165099.165319513	260322.990732143	83809.1854096513	411028.867318606	433764.810610096	468124.808553602	280995.237199265	260322.990732143	274829.490885989	212702.814344384	230259.965096762	201306.278237094	302891.62205148	327981.136960748	135820.641299446
ostta01g00090	9534747.67789284	8035123.64195633	7436835.55156714	2058659.73021144	2177658.28859268	2039091.10385724	8518437.03729852	8005336.90049231	6689713.23700921	5929136.32549829	5566758.35171749	5706104.85562767	1451293.48432176	1519352.35389365	1480212.29616144	5109960.49160305	5239293.29664718	5232569.43089333	3318329.22068439	3467429.8969685	3272510.15573512	2042859.33301098	2004484.36553963	2025117.3614437	3407767.4369213	3567879.15072655	3588508.78495159	5959808.87409024	5892479.82504157	6184046.11707358	1037922.42216532	859988.300533339	1010177.3321096	6236668.86153472	6155070.34688163	5733108.54073636	5548103.05660006	6091799.25801776	5121228.12236372	1238753.93037514	6339903.95595847	1315677.91974255	7610305.03929237	7939421.51115907	8156205.08806543	6358659.28083222	6339903.95595847	5889006.15037581	5513739.18525095	5514987.27185954	5397111.15406073	8518437.03729852	8005336.90049231	6689713.23700921
ostta01g00100	633741.915372605	484694.777334926	325807.459320343	171370.843295206	178792.550142171	221839.252012761	618581.533791812	552353.132501475	412814.491405112	239431.942812141	185726.554725591	247095.59775256	67356.3941168306	86162.6599461641	99419.3468248092	624296.856941961	666737.52476302	659444.743697972	53594.2479123513	265122.488655024	45685.3250295511	93921.6732040476	98956.5667824511	125169.681473083	522697.572779111	594259.439852211	472708.208624987	506637.194383664	531332.411793751	371689.192393666	130548.796652158	482122.762539216	441483.987820342	309305.252167013	288488.947521883	297747.093704369	157216.579081316	109214.988151005	256318.313155662	274985.660372133	334821.49149298	273680.382562719	321967.064458979	339467.056984893	460816.716117142	322629.655666543	334821.49149298	319246.747436068	396935.646458836	425003.95192244	386887.838747602	618581.533791812	552353.132501475	412814.491405112
ostta01g00120	NA	NA	NA	NA	NA	NA	38446.0561000374	54950.9460434147	17711.514750647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45027.6180157509	46697.2407427358	47067.5265462455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38446.0561000374	54950.9460434147	17711.514750647
ostta01g00130	528952.388631129	456631.572183275	656437.673605454	192604.531731841	179551.012651586	141676.79313872	567301.097964562	153163.960638183	115728.226457455	409648.167877713	387191.615245825	473977.384320252	128673.589000783	33946.7200688054	40995.3690076926	449684.985853813	424626.36564684	444144.871004023	184273.949126681	342752.448524528	341243.874872804	231080.276892741	250648.010477974	221490.348269378	132138.954327102	177108.023838306	167401.185384541	72137.0038314785	39184.7171815634	74582.8003723032	81256.2751182721	31894.1552197995	86395.3907512354	203251.553534784	366572.044688147	289665.400442051	24141.2824517661	131270.077760439	153068.160804225	96728.5388496918	136563.1631788	58765.1049302126	183703.288586867	237492.923229083	265918.208891508	9712.73637477243	136563.1631788	153535.874854925	84075.0474824941	82484.2936454455	90301.9681295174	567301.097964562	153163.960638183	115728.226457455
ostta01g00140	4213647.45771375	3738171.78129741	3467603.53073632	833917.768737209	933988.558117242	912514.894877908	2944291.20844358	2662709.96167432	2190396.82921563	2984028.38127907	2739179.95261425	2620619.26512515	662304.935989433	744197.645186815	704778.950602245	3430883.15878142	3474702.83525774	3374390.21163312	2640413.95854688	2015161.56778648	2611899.53719201	1488230.2168195	1623710.21941	1502915.81489402	3166808.99004479	3249857.14224097	3230324.23725857	2364458.39381453	2290798.38322433	2363426.30663222	378478.03748974	438408.898614537	589307.433348538	2480675.65451075	2538805.74566443	2142038.59361072	2149066.16231938	2211548.03053652	2042417.25408211	756616.434074494	1728800.18661858	724690.28837546	2058354.31686066	2184185.74774836	2355242.48962096	1754754.03493547	1728800.18661858	1717670.34441836	1325212.8635933	1352538.10710418	1281824.64736397	2944291.20844358	2662709.96167432	2190396.82921563
ostta01g00160	234965.628698357	217452.680221645	216260.535890697	70265.0974241273	55800.0786453995	57078.7938490085	186972.468796376	168580.506555174	100436.095646458	178199.981917153	181045.017190155	183792.140327842	38380.9519364616	28111.2988885912	32102.8764723968	144547.708747058	128154.886671406	120633.283886945	156667.141590928	154529.03248122	147799.34447363	87969.4282281517	84772.4199867218	78190.4408002975	128569.405365271	126620.689352641	109685.147920542	110410.43446556	121451.240567066	123565.615838635	73993.6173401125	77904.3356689189	72684.7966427789	127242.513289751	133362.958324867	85363.6325347338	173277.412927596	178287.398457742	184497.973355933	57988.7226198124	154335.581701772	66968.0333804057	68155.3027228529	122133.906959633	128856.71857935	144219.108121549	154335.581701772	159630.240365493	100484.344702691	106232.013119998	97471.5496060748	186972.468796376	168580.506555174	100436.095646458
