zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta01g00010	16.8391082090912	17.3483917770463	17.0029090975105	16.7976321676166	16.7976321676166	16.7976321676166	16.6506639182215	16.8578285354217	16.1709244445916	16.4844958303775	16.4844958303775	16.4844958303775	15.9186330734382	16.4608592186532	16.7793582082549	16.501827118803	17.2535365243569	17.0029090975105
ostta01g00020	18.7798968082983	18.679609897484	18.2519677576216	16.1124628477569	16.0262379039672	17.8652789506846	17.8249723589837	17.4833382913465	18.0378542741064	18.6762431991902	17.9689675683514	17.5284856975071	17.9440523364041	15.7992993905237	15.714758117974	15.8221866286421	17.8311466850649	18.2519677576216
ostta01g00040	16.776045513439	16.776045513439	16.776045513439	17.0441815501035	17.0441815501035	17.0441815501035	17.1745964064288	17.1745964064288	17.1745964064288	17.3050112627542	17.3050112627542	17.3050112627542	16.2474788972314	16.2474788972314	16.2474788972314	16.5079094767745	16.5079094767745	16.5079094767745
ostta01g00070	18.2451206280403	17.9564797533882	17.4900929199714	18.9582091799767	18.5722346575371	18.7208766297236	18.8580737740426	18.6592572635798	18.7701403241838	17.8551524552719	17.3526312334871	17.5425989173002	18.0839578281699	17.6181737254608	18.6631241187731	17.7996635170017	17.8665695003036	17.4900929199714
ostta01g00090	22.2111384491748	22.0176205990317	22.4339675720834	22.0441539514481	21.8222370368336	21.5160063334468	21.418290039822	21.2398980060619	21.1555221219618	22.3546341393497	21.3620487012734	22.2072932335208	22.2717449326951	21.4920382787279	22.6710478945141	22.4492748093532	22.6110219638485	22.4339675720834
ostta01g00100	17.9372372019772	18.4027472789836	18.631452243447	17.2017744227126	17.7503577640709	18.6694242227708	16.1044016796682	16.8570635457864	18.5230119202932	18.6767856699326	19.5605963016561	18.04984912371	17.0103818086715	18.5486987794682	18.4324478982223	18.0918763168168	18.7630744540589	18.631452243447
ostta01g00120	14.4778797412235	14.4778797412235	14.4778797412235	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	15.0163317013389	15.0163317013389	15.0163317013389	14.7471057212812	14.7471057212812	14.7471057212812	14.4778797412235	14.4778797412235	14.4778797412235
ostta01g00130	18.1798482181582	18.2643129697871	17.3462441469365	18.2122369809918	17.2851755208099	18.1218300143156	17.7620028070827	18.0477196928518	16.8489362310005	15.7592185646966	17.2971601618897	17.9517055464384	16.1061512361677	16.8642254255973	17.7451139785519	15.6791213267277	16.484761502972	17.3462441469365
ostta01g00140	20.985259801158	20.7774702140376	20.8647882565099	20.9571247091154	20.8153626499077	20.9467445627646	20.9330053016968	20.8518807427397	21.0190308185091	21.0604130213602	20.1885653167924	20.928656116119	20.7795299166957	20.3145909629061	20.8780821075646	20.5296184959859	20.586193053845	20.8647882565099
ostta01g00160	16.7191295409686	16.8645419503316	16.8091333704128	16.8625812142328	16.616388043886	16.4833186821861	16.8227846710624	16.5178312111077	16.4844689770418	16.6586752239781	17.56768111849	16.6716023923379	17.0983429493665	16.7517245110439	16.6096967150104	16.891501698295	16.74727940137	16.8091333704128
