ProteinID	ProteinPhase	TranscriptPhase	Annotation
ostta01g00010	0.2	13.5	 unnamed product
ostta01g00040	7.3	19.3	 6-phosphofructo-2-kinase
ostta01g00070	5.7	4.2	 Malic enzyme, NAD-binding
ostta01g00090	19.8	13.7	 Voltage-dependent potassium channel
ostta01g00120	17.7	3.4	 Ribonucleotide reductase R1 subunit, N-terminal
ostta01g00130	4.2	4.7	 Protein of unknown function DUF4336
ostta01g00190	9.1	22.8	 Thioredoxin-like fold
ostta01g00250	19.9	20	 Histidine kinase-like ATPase, ATP-binding domain
ostta01g00300	14.3	21.7	 Inositol polyphosphate kinase
ostta01g00320	1.4	23.7	 unnamed product
ostta01g00800	5.3	14	 Acyl-CoA dehydrogenase/oxidase, N-terminal
ostta01g00970	1.2	12.2	 Short-chain dehydrogenase/reductase SDR
ostta01g00980	10	5.8	 Pseudouridine synthase/archaeosine transglycosylase
ostta01g01050	16.3	12.9	 Pyrophosphate-energised proton pump
ostta01g01220	0.4	22	 Non-structural maintenance of chromosome element 4, C-terminal
ostta01g01640	16.9	17.8	 Nicotinamide N-methyltransferase-like
ostta01g01780	2	20.2	 unnamed product
ostta01g02090	20.1	20.2	 unnamed product
ostta01g02350	22.8	19.7	 Ovarian tumour, otubain
ostta01g02380	1.7	13.5	 RmlC-like jelly roll fold
ostta01g02650	20.5	3.5	 unnamed product
ostta01g02770	15.2	16.1	 Clathrin, heavy chain/VPS, 7-fold repeat
ostta01g02830	4.5	19.9	 Transcription elongation factor 1
ostta01g03050	13.7	11.6	 Acyl-CoA dehydrogenase/oxidase C-terminal
ostta01g03120	22.4	21.9	 Carbohydrate binding module family 20
ostta01g03150	12.8	20.9	 Isochorismatase-like
ostta01g03160	20.2	19.4	 E3 UFM1-protein ligase 1
ostta01g03250	22.3	13.8	 Alpha-1,6-glucosidases, pullulanase-type, C-terminal
ostta01g03340	14.1	21.4	 Nicotinate phosphoribosyltransferase-like
ostta01g03380	1.9	20.9	 S15/NS1, RNA-binding
ostta01g03640	1.3	5.4	 Spindle assembly checkpoint component Mad1
ostta01g03720	11.3	19.5	 EF-Hand 1, calcium-binding site
ostta01g03790	18.2	18	 PCI/PINT associated module
ostta01g03910	21	14.3	 RNA polymerase III Rpc4
ostta01g03920	6.6	4.8	 Haem peroxidase, plant/fungal/bacterial
ostta01g04100	4	1.2	 DNA cytosine-5-methyltransferase 1, replication foci domain
ostta01g04210	12.1	14.4	 P-loop containing nucleoside triphosphate hydrolase
ostta01g04410	7.5	21.1	 EF-Hand 1, calcium-binding site
ostta01g04430	22	22	 unnamed product
ostta01g04440	0.3	16	 Protein translocase subunit SecA
ostta01g04480	11.9	8.6	 von Willebrand factor, type A
ostta01g04585	17.7	6	 GOLD
ostta01g04600	23.5	20	 Ribosomal protein L21
ostta01g04660	0.1	21.6	 von Hippel-Lindau disease tumour suppressor, beta/alpha domain
ostta01g04790	15.3	14.1	 Clathrin light chain
ostta01g04800	18.4	16.2	 Carotenoid oxygenase
ostta01g04850	11.3	15.1	 hypothetical protein
ostta01g04950	0.6	16.5	 ABC transporter, conserved site
ostta01g05155	3.3	15.4	 Cation-transporting P-type ATPase, C-terminal
ostta01g05340	22.6	17	 STAG
ostta01g05440	16.2	13.8	 unnamed product
ostta01g05470	5.5	21.6	 RNA polymerase II-associated, Paf1
ostta01g05590	16.4	6.7	 26S proteasome subunit P45
ostta01g05640	2.7	22.1	 Pyruvate/Phosphoenolpyruvate kinase-like domain
ostta01g05720	20.8	19.5	 Phosphatidylinositol 3/4-kinase, conserved site
ostta01g05740	4.9	16.2	 P-loop containing nucleoside triphosphate hydrolase
ostta01g05920	19.8	14.5	 Arf GTPase activating protein
ostta01g05950	0.6	20.6	 Armadillo-type fold
ostta01g06120	3.1	21.3	 Protein of unknown function DUF284, transmembrane eukaryotic
ostta01g06160	23.4	17.4	 WD40/YVTN repeat-like-containing domain
ostta01g06430	3.2	3.1	 Na+/H+ exchanger, isoforms 7/8
ostta01g06510	23.1	14.7	 Tetratricopeptide repeat
ostta02g00490	6.8	17.8	 unnamed product
ostta02g00500	23.6	23.4	 unnamed product
ostta02g00555	15.7	18.7	 N-terminal acetyltransferase A, auxiliary subunit
ostta02g00880	22.4	16.4	 Thymidylate synthase
ostta02g00900	0.7	21.9	 NADP-binding domain
ostta02g01030	1.6	22.4	 RNA polymerase, beta subunit, conserved site
ostta02g01130	6.3	21	 Nucleoporin Nup85-like
ostta02g01160	21.3	21.3	 Crotonase superfamily
ostta02g01190	4.8	23.4	 Uncharacterised protein family UPF0246
ostta02g01245	16.2	15.9	 GINS complex, subunit Psf2
ostta02g01360	1.4	21.1	 P-loop containing nucleoside triphosphate hydrolase
ostta02g01480	23.8	19.7	 P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nuclhate hydrolase
ostta02g01530	14	18	 DNA-directed RNA polymerase, 30-40kDa subunit, conserved site
ostta02g01860	19.9	12.2	 Glutamyl-tRNAGln amidotransferase A subunit n/a  Glutamyl-tRNAGln amidotransfer
ostta02g01970	2.4	22.7	 Aspartyl/Glutamyl-tRNAGln amidotransferase, subunit B/E, catalytic
ostta02g02330	21.7	15.9	 Ribosomal protein L35
ostta02g02420	22.8	19.5	 Armadillo-type fold
ostta02g02550	2.5	19.8	 SNF2-related
ostta02g02680	22.2	23.3	 SKI-interacting protein SKIP, SNW domain
ostta02g02830	11.8	12.9	 Glutamate--cysteine ligase, plant
ostta02g02860	19.7	20.1	 Transposase, Tc1-like
ostta02g02940	9.1	18.9	 P-loop containing nucleoside triphosphate hydrolase
ostta02g02980	18.2	16.1	 Proteasome A-type subunit
ostta02g03070	16.4	5.1	 Histone-fold
ostta02g03090	11	15.6	 Bromodomain transcription factor
ostta02g03355	9.7	1.5	 Cation/H+ exchanger
ostta02g03390	21.1	0.9	 HEAT repeat associated with sister chromatid cohesion protein
ostta02g03490	22.5	14.4	 Aminoacyl-tRNA synthetase, class Ia
ostta02g03500	22.1	15.8	 Protein phosphatase 2C
ostta02g03540	0.9	18.3	 Clathrin alpha-adaptin/coatomer adaptor, appendage, C-terminal subdomain
ostta02g03680	20.4	20.9	 Cyclin, N-terminal
ostta02g03740	1.7	20.4	 Clathrin/coatomer adaptor, adaptin-like, N-terminal
ostta02g03830	21.6	16.6	 Ribosomal protein L19/L19e domain
ostta02g03900	15.8	19.5	 Peptidyl-prolyl cis-trans isomerase, FKBP-type
ostta02g03910	2.8	14.3	 Phosphoglycerate kinase, C-terminal
ostta02g03920	23.8	11.4	 unnamed product
ostta02g03990	6.1	4.1	 unnamed product
ostta02g04100	21.7	19.1	 Myo-inositol-1-phosphate synthase, GAPDH-like
ostta02g04180	23.9	15.8	 Domain of unknown function DUF547
ostta02g04280	17	12.3	 Ferredoxin thioredoxin reductase, alpha chain
ostta02g04300	23.7	15.1	 Conserved oligomeric Golgi complex, subunit 3
ostta02g04340	10.3	16	 Armadillo-type fold
ostta02g04360	2.6	20.7	 Translation elongation/initiation factor/Ribosomal, beta-barrel
