zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta01g00010	17.7199227320248	18.2684209161389	17.6357763849826	17.9762438218633	17.1301565316401	18.9729816213474	17.9542638215132	17.1768693535177	15.7102660356573	15.9175985467518	16.601658710307	17.7194570304423	16.3310587159733	17.4472584935577	17.3097914140503	16.3821019814486	17.329466656451	16.8557843189498
ostta01g00020	18.1565602029904	18.8478597049196	18.4094560022835	17.8639664276463	18.4749743055706	17.5297643879588	16.9747568903025	17.8850467160007	17.8020421962308	16.032004212932	16.8073841623033	18.0394613072316	16.8378305974572	17.2651235553048	18.3330947289483	17.1454442334579	17.1327220386705	16.2166365536555
ostta01g00040	20.3194477096904	20.3153964385068	19.2953338339768	20.1061771894996	20.235423022314	20.1396497922675	20.2197788553321	20.019744138493	18.8131667252909	20.340853921547	20.0611865972617	19.0598266234595	20.471436264809	19.8623438458055	19.0847998996734	19.9836428999226	20.1394668822287	20.0713010879802
ostta01g00070	15.9750337621873	15.7909596026559	16.0241866919796	16.0893451832143	15.9597129216889	15.8300806601634	16.0381779160052	15.9173652104388	16.1589906215717	16.3529263219055	16.2704694119628	16.18801250202	15.9643828470974	15.9643828470974	15.9643828470974	16.44689797085	16.44689797085	16.44689797085
ostta01g00090	21.1644597172765	21.5155530019769	20.8321707525056	21.2405384221132	21.2023222492287	21.1761172507048	21.2549504529297	21.192680955731	20.2279662189494	22.080293012957	21.9800611973752	21.3234087095498	21.8408621899172	21.9548882409305	21.6782899892456	21.7843500286086	21.8350751185068	21.7680317051681
ostta01g00100	17.7183274651126	17.7846079172445	17.4018051470101	17.6972853375988	16.772481788304	18.8657427267067	17.7572885412399	17.8971530562772	17.4648788339608	16.9912900756008	16.2446503413413	17.2424107767438	17.9430323933744	17.7029565961823	17.1930592420648	16.4780180036943	17.4889207964529	17.7516224717476
ostta01g00120	16.4464722586828	16.4464722586828	16.4464722586828	14.9237802556549	15.8063513816044	14.0412091297054	13.9775099029747	16.9843185036009	15.3452229951833	17.7713560379175	17.4562024218324	17.3656136896461	16.6199150879604	17.2898351181415	15.9499950577793	17.8176985252569	17.8176985252569	17.8176985252569
ostta01g00130	16.0502285172421	15.9819402144114	15.9136519115807	15.0622928674421	15.3243329503884	15.5863730333348	16.0906871704942	15.8880059022446	15.9893465363694	15.6623055402294	15.6623055402294	15.6623055402294	15.3352645440893	14.5461733258716	16.1243557623071	16.4912098426311	16.4912098426311	16.4912098426311
ostta01g00140	20.8811440662584	21.0610637957374	20.0853924251681	20.8328485660509	20.9049765620765	21.1461678746161	20.921203987652	20.8429257058	20.4645436525042	20.1661270448563	20.3617037958478	20.390328135415	20.4182786180549	20.498870170631	20.3539160691129	20.643270370815	20.4064403981846	20.4350443200429
ostta01g00160	15.1748417655853	15.1748417655853	15.1748417655853	11.1936024024968	11.1936024024968	11.1936024024968	16.0672209136117	16.0672209136117	16.0672209136117	13.3815826184092	13.3815826184092	13.3815826184092	12.1217082152581	13.6416647703662	13.0518452272584	14.0566239182731	14.0566239182731	14.0566239182731
