"geneID" "annotation"
"ostta01g00020" " 6-phosphofructo-2-kinase"
"ostta01g00070" " Voltage-dependent potassium channel"
"ostta01g00100" " Exonuclease, RNase T/DNA polymerase III"
"ostta01g00160" " Dymeclin"
"ostta01g00170" " unnamed product"
"ostta01g00210" " Ribosomal protein L36"
"ostta01g00230" " unnamed product"
"ostta01g00380" " Transcription factor IIIC, 90kDa subunit, N-terminal"
"ostta01g00420" " Mitochondrial substrate/solute carrier"
"ostta01g00430" " unnamed product"
"ostta01g00440" " Voltage-dependent potassium channel"
"ostta01g00450" " unnamed product"
"ostta01g00480" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00600" " unnamed product"
"ostta01g00620" " Polyphosphate kinase"
"ostta01g00960" " unnamed product"
"ostta01g00970" " Pseudouridine synthase/archaeosine transglycosylase"
"ostta01g00990" " THO complex subunit 7/Mft1"
"ostta01g01080" " Mediator complex, subunit Med4"
"ostta01g01085" " Translocon-associated protein subunit beta"
"ostta01g01090" " Nicotinamide N-methyltransferase-like"
"ostta01g01110" " unnamed product"
"ostta01g01150" " unnamed product"
"ostta01g01160" " Radical SAM"
"ostta01g01180" " 3Fe-4S ferredoxin"
"ostta01g01190" " Cytochrome c oxidase assembly protein COX16"
"ostta01g01210" " Transcription initiation factor TFIID, 23-30kDa subunit"
"ostta01g01240" " Cellulosome enzyme, dockerin type I"
"ostta01g01260" " unnamed product"
"ostta01g01280" " unnamed product"
"ostta01g01300" " unnamed product"
"ostta01g01320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g01400" " unnamed product"
"ostta01g01520" " unnamed product"
"ostta01g01530" " UDP-glucose:Glycoprotein Glucosyltransferase"
"ostta01g01630" " unnamed product"
"ostta01g01690" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g01720" " RNA polymerase, beta subunit, conserved site"
"ostta01g01730" " unnamed product"
"ostta01g01770" " unnamed product"
"ostta01g01780" " RmlC-like jelly roll fold"
"ostta01g01850" " Carotenoid oxygenase"
"ostta01g01870" " unnamed product"
"ostta01g01930" " unnamed product"
"ostta01g02030" " unnamed product"
"ostta01g02090" " unnamed product"
"ostta01g02120" " TFIIH subunit Tfb4/p34"
"ostta01g02190" " Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal n/a ated protein CAP/septum formation inhibitor MinC, C-terminal"
"ostta01g02300" " RAP domain"
"ostta01g02340" " Amino acid transporter, transmembrane"
"ostta01g02380" " Transcription elongation factor 1"
"ostta01g02440" " Alpha,alpha-trehalose-phosphate synthase"
"ostta01g02490" " G-protein beta WD-40 repeat"
"ostta01g02590" " Mammalian uncoordinated homology 13, domain 2"
"ostta01g02600" " unnamed product"
"ostta01g02615" " Mitochondrial import protein TIM15"
"ostta01g02650" " Acyl-CoA dehydrogenase/oxidase C-terminal"
"ostta01g02670" " unnamed product"
"ostta01g02680" " Pre-mRNA splicing factor PRP21-like protein"
"ostta01g02690" " Tetratricopeptide repeat"
"ostta01g02700" " V-ATPase proteolipid subunit"
"ostta01g02930" " Helicase, C-terminal"
"ostta01g02940" " Peptidoglycan binding-like"
"ostta01g03140" " Cytochrome c oxidase, subunit Vb"
"ostta01g03280" " Rudiment single hybrid motif"
"ostta01g03300" " Rieske [2Fe-2S] iron-sulphur domain"
"ostta01g03320" " Nonaspanin TM9SF"
"ostta01g03330" " Metridin-like ShK toxin"
"ostta01g03430" " Flavinator of succinate dehydrogenase"
"ostta01g03470" " SAC3/GANP/Nin1/mts3/eIF-3 p25"
"ostta01g03490" " Transcription elongation factor S-II, central domain"
"ostta01g03510" " unnamed product"
"ostta01g03520" " unnamed product"
"ostta01g03560" " DnaJ domain, conserved site"
"ostta01g03570" " MIF4-like, type 1/2/3"
"ostta01g03590" " unnamed product"
"ostta01g03640" " Haem peroxidase, plant/fungal/bacterial"
"ostta01g03650" " Short-chain dehydrogenase/reductase SDR"
"ostta01g03710" " unnamed product"
"ostta01g03780" " unnamed product"
"ostta01g03970" " Paired amphipathic helix"
"ostta01g03980" " Growth arrest-specific protein 8"
"ostta01g04160" " Cytochrome c oxidase biogenesis protein Cmc1-like"
"ostta01g04180" " Chitobiase/beta-hexosaminidase C-terminal domain"
"ostta01g04250" " 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase domain"
"ostta01g04290" " unnamed product"
"ostta01g04330" " Thioredoxin-like fold"
"ostta01g04350" " unnamed product"
"ostta01g04390" " SPla/RYanodine receptor SPRY"
"ostta01g04410" " Ribosomal protein L21"
"ostta01g04530" " Alanine racemase, N-terminal"
"ostta01g04560" " AMP-dependent synthetase/ligase"
"ostta01g04650" " Cellulose-binding domain, fungal"
"ostta01g04670" " unnamed product"
"ostta01g04680" " Tetratricopeptide repeat"
"ostta01g04730" " Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal"
"ostta01g04820" " Superoxide dismutase, copper/zinc binding domain"
"ostta01g04830" " Ubiquinol-cytochrome c chaperone/UPF0174"
"ostta01g04850" " RNA polymerase II-associated, Paf1"
"ostta01g04870" " Acyl-CoA N-acyltransferase"
"ostta01g05030" " Serine/threonine-protein kinase, active site"
"ostta01g05040" " Adenylate kinase"
"ostta01g05140" " Nucleoporin FG repeat"
"ostta01g05240" " Phosphatidylinositol 3/4-kinase, conserved site"
"ostta01g05270" " unnamed product"
"ostta01g05380" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05420" " WD40 repeat"
"ostta01g05560" " Pyruvate dehydrogenase acetyl-transferring E1 component, alpha subunit, subgrou"
"ostta01g05580" " Protein kinase-like domain"
"ostta01g05680" " Serine/threonine-protein kinase, active site"
"ostta01g05700" " Histidinol dehydrogenase"
"ostta01g05760" " Molybdopterin synthase/thiamin biosynthesis sulphur carrier, beta-grasp"
"ostta01g05940" " unnamed product"
"ostta01g05960" " C2 calcium-dependent membrane targeting"
"ostta01g06030" " Cyclin, N-terminal"
"ostta01g06090" " Nicotinamide N-methyltransferase-like"
"ostta01g06160" " Nucleoporin Nup85-like"
"ostta01g06190" " unnamed product"
"ostta01g06250" " RmlC-like jelly roll fold"
"ostta01g06260" " Acyl-CoA N-acyltransferase"
"ostta01g06270" " Ham1-like protein"
"ostta01g06320" " Ankyrin repeat"
"ostta01g06460" " HAD hydrolase, subfamily IA"
"ostta01g06465" " Hepatocellular carcinoma-associated antigen 59"
"ostta01g06490" " unnamed product"
"ostta01g06555" " hypothetical protein"
"ostta01g06570" " Archease"
"ostta01g06600" " unnamed product"
"ostta01g06610" " Rieske iron-sulphur protein"
"ostta01g06620" " Small GTPase superfamily, ARF/SAR type"
"ostta01g06630" " Triose-phosphate transporter domain"
"ostta01g06640" " Voltage-dependent channel, four helix bundle domain"
"ostta02g00087" " hypothetical protein"
"ostta02g00110" " Proteasome A-type subunit"
"ostta02g00130" " Pyridine nucleotide-disulphide oxidoreductase, class I, active site"
"ostta02g00150" " Cyclin A/B/D/E"
"ostta02g00170" " Thiolase-like, subgroup"
"ostta02g00195" " Ribonuclease H-like domain n/a  Ribonuclease H-like domain"
"ostta02g00230" " unnamed product"
"ostta02g00260" " Thiolase-like, subgroup"
"ostta02g00270" " THO complex, subunitTHOC2, N-terminal"
"ostta02g00350" " hypothetical protein n/a  unnamed product"
"ostta02g00360" " ATPase, AAA-type, CDC48"
"ostta02g00390" " Nucleoporin, NSP1-like, C-terminal n/a  Nucleoporin, NSP1-like, C-terminal"
"ostta02g00430" " BOP1, N-terminal domain"
"ostta02g00440" " unnamed product"
"ostta02g00490" " GINS complex, subunit Psf2"
"ostta02g00530" " unnamed product"
"ostta02g00540" " Ureidoglycolate hydrolase"
"ostta02g00555" " P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nuclhate hydrolase"
"ostta02g00680" " Protein of unknown function DUF947"
"ostta02g00690" " DNA replication licensing factor Mcm3"
"ostta02g00700" " unnamed product"
"ostta02g00710" " Polyketide synthase, KR"
"ostta02g00750" " Histidinol dehydrogenase"
"ostta02g00760" " unnamed product"
"ostta02g00770" " unnamed product"
"ostta02g00780" " unnamed product"
"ostta02g00810" " IMP dehydrogenase / GMP reductase, conserved site"
"ostta02g00820" " unnamed product"
"ostta02g00860" " Glycosyl transferase, family 1"
"ostta02g00970" " Peptidase C50, separase"
"ostta02g00980" " Nucleotide-binding, alpha-beta plait"
"ostta02g00990" " Signal recognition particle, SRP9/SRP14 subunit"
"ostta02g01040" " Modification methylase HemK"
"ostta02g01050" " XPG/Rad2 endonuclease"
"ostta02g01060" " unnamed product"
"ostta02g01130" " SNF2-related"
"ostta02g01260" " Transcription initiation Spt4-like"
"ostta02g01270" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta02g01310" " unnamed product"
"ostta02g01430" " RNA cap guanine-N2 methyltransferase"
"ostta02g01440" " Protein kinase-like domain"
"ostta02g01460" " Proteasome A-type subunit"
"ostta02g01490" " Small GTPase superfamily, Rab type"
"ostta02g01510" " Histone deacetylase superfamily"
"ostta02g01530" " Bromodomain transcription factor"
"ostta02g01600" " V-ATPase proteolipid subunit"
"ostta02g01610" " Cation/H+ exchanger"
"ostta02g01640" " Ankyrin repeat"
"ostta02g01670" " unnamed product"
"ostta02g01720" " unnamed product"
"ostta02g01725" " hypothetical protein"
"ostta02g01770" " DNA-directed RNA polymerase, subunit C11/M/9"
"ostta02g01790" " Phenylalanyl-tRNA synthetase"
"ostta02g01810" " Choline/Ethanolamine kinase"
"ostta02g01920" " ER lumen protein retaining receptor"
"ostta02g01930" " Diacylglycerol glucosyltransferase, N-terminal"
"ostta02g01950" " E2F Family"
"ostta02g02010" " Mini-chromosome maintenance, DNA-dependent ATPase"
"ostta02g02020" " unnamed product"
"ostta02g02030" " Helicase, C-terminal"
"ostta02g02050" " unnamed product"
"ostta02g02070" " Glycosyl transferase, family 25"
"ostta02g02100" " unnamed product"
"ostta02g02110" " Armadillo-type fold"
"ostta02g02120" " Alpha-ketoglutarate-dependent dioxygenase AlkB-like"
"ostta02g02210" " Timeless protein"
"ostta02g02280" " Mog1/PsbP, alpha/beta/alpha sandwich"
