"geneID" "annotation"
"ostta01g00030" " unnamed product"
"ostta01g00040" " Malic enzyme, NAD-binding"
"ostta01g00080" " unnamed product"
"ostta01g00100" " Exonuclease, RNase T/DNA polymerase III"
"ostta01g00240" " FAD linked oxidase, N-terminal"
"ostta01g00250" " Inositol polyphosphate kinase"
"ostta01g00380" " Transcription factor IIIC, 90kDa subunit, N-terminal"
"ostta01g00450" " unnamed product"
"ostta01g00460" " WD40/YVTN repeat-like-containing domain"
"ostta01g00480" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00485" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00510" " unnamed product"
"ostta01g00590" " Aldo/keto reductase, conserved site"
"ostta01g00620" " Polyphosphate kinase"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00850" " Lamin Tail Domain"
"ostta01g00890" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g00930" " Chloramphenicol acetyltransferase-like domain"
"ostta01g00960" " unnamed product"
"ostta01g00980" " Pyrophosphate-energised proton pump"
"ostta01g01020" " Plectin/S10, N-terminal"
"ostta01g01080" " Mediator complex, subunit Med4"
"ostta01g01085" " Translocon-associated protein subunit beta"
"ostta01g01160" " Radical SAM"
"ostta01g01200" " unnamed product"
"ostta01g01260" " unnamed product"
"ostta01g01270" " DNA repair protein Rad50, eukaryotes"
"ostta01g01330" " unnamed product"
"ostta01g01380" " Cation efflux protein"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01480" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01510" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g01530" " UDP-glucose:Glycoprotein Glucosyltransferase"
"ostta01g01610" " unnamed product"
"ostta01g01620" " unnamed product"
"ostta01g01650" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g01710" " unnamed product"
"ostta01g01800" " Sec-independent protein translocase protein TatA/E"
"ostta01g01850" " Carotenoid oxygenase"
"ostta01g01855" " Tocopherol cyclase"
"ostta01g01890" " Forkhead-associated FHA domain"
"ostta01g01930" " unnamed product"
"ostta01g02000" " Ketopantoate reductase ApbA/PanE, N-terminal"
"ostta01g02010" " Protein phosphatase 2C"
"ostta01g02050" " Endoplasmic reticulum vesicle transporter, C-terminal"
"ostta01g02060" " unnamed product"
"ostta01g02070" " Sushi/SCR/CCP"
"ostta01g02200" " unnamed product"
"ostta01g02230" " unnamed product"
"ostta01g02370" " Vacuolar protein sorting-associated protein 26"
"ostta01g02380" " Transcription elongation factor 1"
"ostta01g02440" " Alpha,alpha-trehalose-phosphate synthase"
"ostta01g02540" " unnamed product"
"ostta01g02580" " DNA replication licensing factor Mcm6"
"ostta01g02600" " unnamed product"
"ostta01g02610" " Mini-chromosome maintenance complex-binding protein"
"ostta01g02630" " Phosphatidylinositol-glycan biosynthesis class S protein"
"ostta01g02660" " unnamed product"
"ostta01g02730" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g02760" " Carbohydrate binding module family 20"
"ostta01g02770" " Isochorismatase-like"
"ostta01g02800" " unnamed product"
"ostta01g02820" " unnamed product"
"ostta01g02830" " E3 UFM1-protein ligase 1"
"ostta01g02880" " unnamed product"
"ostta01g02890" " HAD-superfamily hydrolase, subfamily IIID"
"ostta01g02940" " Peptidoglycan binding-like"
"ostta01g02950" " Leucine-rich repeat"
"ostta01g02970" " Histone-fold"
"ostta01g03120" " Nicotinate phosphoribosyltransferase-like"
"ostta01g03230" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g03260" " Nuclear control of ATP synthase 2"
"ostta01g03300" " Rieske [2Fe-2S] iron-sulphur domain"
"ostta01g03310" " EF-Hand 1, calcium-binding site"
"ostta01g03400" " unnamed product"
"ostta01g03420" " Pyrophosphate-energised proton pump"
"ostta01g03530" " Mitochondrial substrate/solute carrier"
"ostta01g03540" " Sterile alpha motif, type 1"
"ostta01g03550" " unnamed product"
"ostta01g03570" " MIF4-like, type 1/2/3"
"ostta01g03580" " Nucleotide-binding, alpha-beta plait"
"ostta01g03610" " Immunoglobulin-like fold"
"ostta01g03660" " Metridin-like ShK toxin"
"ostta01g03750" " HSP20-like chaperone"
"ostta01g03760" " ATPase, AAA-type, CDC48"
"ostta01g03770" " ATPase, F1 complex, gamma subunit conserved site"
"ostta01g03790" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g03860" " Mitochondrial substrate/solute carrier"
"ostta01g03910" " EF-Hand 1, calcium-binding site"
"ostta01g03970" " Paired amphipathic helix"
