"geneID" "annotation"
"ostta01g00030" " unnamed product"
"ostta01g00080" " unnamed product"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00160" " Dymeclin"
"ostta01g00230" " unnamed product"
"ostta01g00250" " Inositol polyphosphate kinase"
"ostta01g00440" " Voltage-dependent potassium channel"
"ostta01g00450" " unnamed product"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00510" " unnamed product"
"ostta01g00680" " Protein prenyltransferase, alpha subunit"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g00960" " unnamed product"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01100" " unnamed product"
"ostta01g01250" " unnamed product"
"ostta01g01320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g01350" " unnamed product"
"ostta01g01380" " Cation efflux protein"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01620" " unnamed product"
"ostta01g01830" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
"ostta01g02010" " Protein phosphatase 2C"
"ostta01g02200" " unnamed product"
"ostta01g02490" " G-protein beta WD-40 repeat"
"ostta01g02570" " Protein of unknown function DUF2419"
"ostta01g02580" " DNA replication licensing factor Mcm6"
"ostta01g02615" " Mitochondrial import protein TIM15"
"ostta01g02660" " unnamed product"
"ostta01g02780" " Armadillo-type fold"
"ostta01g02847" " Glutathione S-transferase, N-terminal"
"ostta01g02880" " unnamed product"
"ostta01g02950" " Leucine-rich repeat"
"ostta01g02970" " Histone-fold"
"ostta01g03050" " Alpha-1,6-glucosidases, pullulanase-type, C-terminal"
"ostta01g03340" " PCI/PINT associated module"
"ostta01g03495" " Mitochondrial substrate/solute carrier"
"ostta01g03520" " unnamed product"
"ostta01g03530" " Mitochondrial substrate/solute carrier"
"ostta01g03600" " Glutamine amidotransferase"
"ostta01g03610" " Immunoglobulin-like fold"
"ostta01g03680" " DHBP synthase RibB-like alpha/beta domain"
"ostta01g03720" " DNA cytosine-5-methyltransferase 1, replication foci domain"
"ostta01g03850" " unnamed product"
"ostta01g03870" " Domain of unknown function SprT-like"
"ostta01g03970" " Paired amphipathic helix"
"ostta01g04000" " Peptidase S54, rhomboid domain"
"ostta01g04030" " Ribosomal protein L2, bacterial/organellar-type"
"ostta01g04130" " Homeodomain-like"
"ostta01g04190" " Quinonprotein alcohol dehydrogenase-like superfamily"
"ostta01g04310" " Taxilin family"
"ostta01g04510" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g04770" " Zinc finger, LSD1-type"
"ostta01g04790" " STAG"
"ostta01g05090" " Diacylglycerol kinase, catalytic domain"
"ostta01g05380" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05440" " Armadillo-type fold"
"ostta01g05630" " Helicase, C-terminal"
"ostta01g05720" " unnamed product"
"ostta01g05790" " unnamed product"
"ostta01g05820" " Micro-fibrillar-associated protein 1, C-terminal"
"ostta01g05850" " HAD hydrolase, subfamily IA"
"ostta01g05910" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05950" " NADP-binding domain"
"ostta01g05970" " Anamorsin"
"ostta01g05980" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g06050" " SANT/Myb domain"
"ostta01g06110" " Domain of unknown function DUF221"
"ostta01g06190" " unnamed product"
"ostta01g06230" " unnamed product"
"ostta01g06410" " unnamed product"
"ostta01g06540" " EF-Hand 1, calcium-binding site"
"ostta01g06545" " hypothetical protein"
"ostta02g00037" " Harbinger transposase-derived protein, plant"
"ostta02g00080" " unnamed product"
"ostta02g00277" " Harbinger transposase-derived nuclease"
"ostta02g00562" " Translation initiation factor IF6"
"ostta02g00580" " Photosystem I PsaL, reaction centre subunit XI"
"ostta02g00770" " unnamed product"
"ostta02g00870" " Oxoglutarate/iron-dependent dioxygenase"
"ostta02g00900" " Glutamyl-tRNAGln amidotransferase A subunit n/a  Glutamyl-tRNAGln amidotransfer"
"ostta02g01020" " Heat shock protein 70 family"
"ostta02g01190" " Glutamate--cysteine ligase, plant"
"ostta02g01240" " Glutathione S-transferase, N-terminal"
"ostta02g01630" " unnamed product"
"ostta02g01780" " RNA polymerase archaeal subunit P/eukaryotic subunit RPC10"
"ostta02g01810" " Choline/Ethanolamine kinase"
"ostta02g01860" " HEAT repeat associated with sister chromatid cohesion protein"
"ostta02g01870" " Bromo adjacent homology BAH domain"
"ostta02g01890" " Vesicle transport protein, SFT2-like"
"ostta02g02065" " hypothetical protein"
"ostta02g02067" " DDE superfamily endonuclease, CENP-B-like"
"ostta02g02140" " Zinc finger, PHD-finger"
"ostta02g02180" " unnamed product"
"ostta02g02260" " Homeobox domain"
"ostta02g02300" " Nitric oxide synthase, oxygenase domain"
"ostta02g02470" " Pre-mRNA polyadenylation factor Fip1"
"ostta02g02715" " hypothetical protein n/a  hypothetical protein"
"ostta02g02730" " Bestrophin/UPF0187"
"ostta02g02760" " RAI1-like"
"ostta02g02770" " unnamed product"
"ostta02g02820" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta02g02850" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g02880" " unnamed product"
"ostta02g02910" " Serine/threonine-protein kinase, active site"
"ostta02g03030" " Cold-shock protein, DNA-binding"
"ostta02g03110" " Transcriptional coactivator p15 PC4"
"ostta02g03150" " DNA methylase, N-6 adenine-specific, conserved site"
"ostta02g03180" " Polyribonucleotide nucleotidyltransferase"
"ostta02g03320" " unnamed product"
"ostta02g03440" " Zinc finger, GATA-type"
"ostta02g03470" " Anaphase-promoting complex subunit 4 long domain"
"ostta02g03540" " DNA-binding TFAR19-related protein"
"ostta02g03610" " Condensin complex, subunit 1, N-terminal"
"ostta02g03780" " Serine/threonine-protein kinase, active site"
"ostta02g03810" " Nucleic acid-binding, OB-fold"
"ostta02g03830" " Peptidase M20, dimerisation domain"
"ostta02g03880" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g03910" " Armadillo-type fold"
"ostta02g03930" " unnamed product"
"ostta02g04090" " Helicase, C-terminal"
"ostta02g04100" " ATP-grasp fold, subdomain 2"
"ostta02g04110" " unnamed product"
"ostta02g04200" " Polyketide synthase/Fatty acid synthase, KR"
"ostta02g04220" " Ankyrin repeat-containing domain"
"ostta02g04430" " Tetratricopeptide-like helical"
"ostta02g04480" " unnamed product"
"ostta02g04500" " Mitochondrial substrate/solute carrier"
"ostta02g04510" " unnamed product"
