"geneID" "annotation"
"ostta01g00030" " unnamed product"
"ostta01g00040" " Malic enzyme, NAD-binding"
"ostta01g00050" " Cation/H+ exchanger"
"ostta01g00080" " unnamed product"
"ostta01g00110" " unnamed product"
"ostta01g00120" " Protein of unknown function DUF4336"
"ostta01g00130" " Thioredoxin-like fold"
"ostta01g00150" " Phytanoyl-CoA dioxygenase"
"ostta01g00180" " unnamed product"
"ostta01g00290" " unnamed product"
"ostta01g00310" " Putative S-adenosyl-L-methionine-dependent methyltransferase MidA"
"ostta01g00340" " unnamed product"
"ostta01g00350" " unnamed product"
"ostta01g00360" " Peptidase M24, methionine aminopeptidase"
"ostta01g00390" " DNA/pantothenate metabolism flavoprotein, C-terminal"
"ostta01g00400" " 26S proteasome regulatory subunit, C-terminal"
"ostta01g00460" " WD40/YVTN repeat-like-containing domain"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00500" " unnamed product"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00560" " Dynein light chain, type 1/2"
"ostta01g00570" " Anticodon-binding"
"ostta01g00610" " Lipase, GDSL"
"ostta01g00630" " ATPase, AFG1-like"
"ostta01g00650" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00660" " unnamed product"
"ostta01g00680" " Protein prenyltransferase, alpha subunit"
"ostta01g00690" " Concanavalin A-like lectin/glucanases superfamily"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00730" " HD/PDEase domain"
"ostta01g00740" " Zinc/iron permease"
"ostta01g00750" " Molybdenum cofactor biosynthesis, MoeB"
"ostta01g00790" " Fatty acid desaturase, type 1"
"ostta01g00810" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00820" " Nucleolar pre-ribosomal-associated protein 1, N-terminal"
"ostta01g00830" "' ATPase, F0 complex, subunit B/B'', bacterial/chloroplast'"
"ostta01g00850" " Lamin Tail Domain"
"ostta01g00860" " Nucleic acid-binding, OB-fold"
"ostta01g00890" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00930" " Chloramphenicol acetyltransferase-like domain"
"ostta01g00950" " Osteopontin"
"ostta01g00980" " Pyrophosphate-energised proton pump"
"ostta01g01030" " Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III"
"ostta01g01040" " DNA methylase, N-6 adenine-specific, eukaryotic"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01070" " TRAM/LAG1/CLN8 homology domain"
"ostta01g01100" " unnamed product"
"ostta01g01130" " Lipase, class 3"
"ostta01g01140" " ARP2/3 complex, 20kDa subunit P20-Arc"
"ostta01g01170" " SAP domain"
"ostta01g01200" " unnamed product"
"ostta01g01220" " unnamed product"
"ostta01g01230" " Prephenate dehydratase, conserved site"
"ostta01g01250" " unnamed product"
"ostta01g01270" " DNA repair protein Rad50, eukaryotes"
"ostta01g01290" " unnamed product"
"ostta01g01295" " hypothetical protein"
"ostta01g01310" " unnamed product"
"ostta01g01350" " unnamed product"
"ostta01g01380" " Cation efflux protein"
"ostta01g01420" " Radical SAM"
"ostta01g01430" " Rhodanese-like domain"
"ostta01g01450" " Aspartate kinase, conserved site"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01480" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01590" " Ornithine/putrescine carbamoyltransferase"
"ostta01g01610" " unnamed product"
"ostta01g01620" " unnamed product"
"ostta01g01640" " Ovarian tumour, otubain"
"ostta01g01650" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g01670" " Ribonucleoprotein LSM domain, eukaryotic/archaea-type"
"ostta01g01700" " K Homology domain, type 1"
"ostta01g01710" " unnamed product"
"ostta01g01750" " tRNA-dihydrouridine synthase, conserved site"
"ostta01g01760" " unnamed product"
"ostta01g01790" " Nucleotide-binding, alpha-beta plait"
"ostta01g01830" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g01860" " 23S rRNA uracil1939-C5-methyltransferase RlmD"
"ostta01g01940" " SET domain"
"ostta01g01950" " Nucleotide-binding, alpha-beta plait"
"ostta01g01960" " unnamed product"
"ostta01g02010" " Protein phosphatase 2C"
"ostta01g02020" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g02040" " unnamed product"
