"geneID" "annotation"
"ostta01g00880" " Ankyrin repeat"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02230" " unnamed product"
"ostta01g02720" " BSD"
"ostta01g02825" " Nucleotide-binding, alpha-beta plait"
"ostta01g02910" " Ubinuclein/Yemanuclein"
"ostta01g03200" " Six-bladed beta-propeller, TolB-like"
"ostta01g03450" " Rhodanese-like domain"
"ostta01g03800" " CAP Gly-rich domain"
"ostta01g03910" " EF-Hand 1, calcium-binding site"
"ostta01g04110" " SWAP/Surp"
"ostta01g04170" " Domain of unknown function DUF1995"
"ostta01g04480" " Carotenoid oxygenase"
"ostta01g04580" " Amino acid transporter, transmembrane"
"ostta01g04810" " Protein of unknown function DUF4079"
"ostta01g05800" " Frizzled domain"
"ostta02g00037" " Harbinger transposase-derived protein, plant"
"ostta02g00080" " unnamed product"
"ostta02g00580" " Photosystem I PsaL, reaction centre subunit XI"
"ostta02g01190" " Glutamate--cysteine ligase, plant"
"ostta02g02150" " RmlC-like jelly roll fold"
"ostta02g04260" " ENTH/VHS"
"ostta02g04610" " RelA/SpoT"
"ostta02g04700" " Plastid lipid-associated protein/fibrillin conserved domain"
"ostta03g00240" " Concanavalin A-like lectin/glucanase, subgroup"
"ostta03g00940" " WD40 repeat"
"ostta03g01980" " unnamed product"
"ostta03g02050" " Thioredoxin-like fold"
"ostta03g02200" " Serine/threonine-protein kinase, active site"
"ostta03g02620" " SPOUT methyltransferase, predicted"
"ostta03g03470" " unnamed product"
"ostta03g03730" " DNA-binding domain"
"ostta03g03980" " Armadillo-type fold"
"ostta03g04470" " Concanavalin A-like lectin/glucanases superfamily"
"ostta04g00070" " Rieske [2Fe-2S] iron-sulphur domain"
"ostta04g00430" " Serine/threonine-protein kinase, active site"
"ostta04g00580" " unnamed product"
"ostta04g01830" " Zinc finger, PHD-finger"
"ostta04g01910" " unnamed product"
"ostta04g02150" " Inositol polyphosphate-related phosphatase"
"ostta04g02210" " Ankyrin repeat"
"ostta04g02530" " NLI interacting factor"
