"geneID" "annotation"
"ostta01g00290" " unnamed product"
"ostta01g00380" " Transcription factor IIIC, 90kDa subunit, N-terminal"
"ostta01g00930" " Chloramphenicol acetyltransferase-like domain"
"ostta01g01020" " Plectin/S10, N-terminal"
"ostta01g01530" " UDP-glucose:Glycoprotein Glucosyltransferase"
"ostta01g01930" " unnamed product"
"ostta01g02320" " Ribosomal protein L35"
"ostta01g02510" " CRAL/TRIO, N-terminal domain"
"ostta01g02630" " Phosphatidylinositol-glycan biosynthesis class S protein"
"ostta01g02650" " Acyl-CoA dehydrogenase/oxidase C-terminal"
"ostta01g02690" " Tetratricopeptide repeat"
"ostta01g02940" " Peptidoglycan binding-like"
"ostta01g02950" " Leucine-rich repeat"
"ostta01g03420" " Pyrophosphate-energised proton pump"
"ostta01g03560" " DnaJ domain, conserved site"
"ostta01g03660" " Metridin-like ShK toxin"
"ostta01g04100" " Protein translocase subunit SecA"
"ostta01g04860" " Monothiol glutaredoxin-related"
"ostta01g05150" " HCaRG"
"ostta01g05190" " Splicing factor motif"
"ostta01g05310" " unnamed product"
"ostta01g05890" " Short-chain dehydrogenase/reductase SDR"
"ostta01g06250" " RmlC-like jelly roll fold"
"ostta01g06430" " Crotonase superfamily"
"ostta01g06470" " Cryptochrome/DNA photolyase, class 1"
"ostta02g00050" " Ribonuclease H-like domain"
"ostta02g00190" " unnamed product"
"ostta02g00350" " hypothetical protein n/a  unnamed product"
"ostta02g00360" " ATPase, AAA-type, CDC48"
"ostta02g01260" " Transcription initiation Spt4-like"
"ostta02g01810" " Choline/Ethanolamine kinase"
"ostta02g01900" " Phosphatidylinositol 3-/4-kinase, catalytic domain"
"ostta02g02340" " Rossmann-like alpha/beta/alpha sandwich fold"
"ostta02g03510" " unnamed product"
"ostta02g03550" " ATP-NAD kinase, PpnK-type, all-beta"
"ostta02g03770" " SNF2-related"
"ostta02g04430" " Tetratricopeptide-like helical"
"ostta02g04440" " Methyltransferase type 11"
"ostta02g04450" " NADP-binding domain"
"ostta02g04950" " Transcription factor IIS, N-terminal"
"ostta02g05080" " mRNA capping enzyme"
"ostta02g05115" " Zinc finger, DPH-type"
"ostta02g05160" " Fumarylacetoacetase, C-terminal"
"ostta02g05460" " unnamed product"
"ostta03g00160" " NADP-dependent oxidoreductase domain"
"ostta03g00210" " unnamed product"
"ostta03g00390" " unnamed product"
"ostta03g00650" " Aromatic-ring hydroxylase-like"
"ostta03g00830" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta03g00970" " Mitochondrial import inner membrane translocase subunit Tim10/Tim12"
"ostta03g01120" " unnamed product"
"ostta03g01160" "' Orotidine 5''-phosphate decarboxylase, active site'"
"ostta03g01380" " Zinc finger, HIT-type"
"ostta03g01620" " unnamed product"
