"geneID" "annotation"
"ostta01g00020" " 6-phosphofructo-2-kinase"
"ostta01g00100" " Exonuclease, RNase T/DNA polymerase III"
"ostta01g00110" " unnamed product"
"ostta01g00130" " Thioredoxin-like fold"
"ostta01g00160" " Dymeclin"
"ostta01g00170" " unnamed product"
"ostta01g00200" " UBA-like"
"ostta01g00230" " unnamed product"
"ostta01g00300" " unnamed product"
"ostta01g00390" " DNA/pantothenate metabolism flavoprotein, C-terminal"
"ostta01g00400" " 26S proteasome regulatory subunit, C-terminal"
"ostta01g00420" " Mitochondrial substrate/solute carrier"
"ostta01g00430" " unnamed product"
"ostta01g00450" " unnamed product"
"ostta01g00485" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00600" " unnamed product"
"ostta01g00730" " HD/PDEase domain"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00890" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g00930" " Chloramphenicol acetyltransferase-like domain"
"ostta01g01090" " Nicotinamide N-methyltransferase-like"
"ostta01g01180" " 3Fe-4S ferredoxin"
"ostta01g01210" " Transcription initiation factor TFIID, 23-30kDa subunit"
"ostta01g01300" " unnamed product"
"ostta01g01370" " Leucine-rich repeat"
"ostta01g01400" " unnamed product"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01630" " unnamed product"
"ostta01g01680" " Rab-GTPase-TBC domain"
"ostta01g01750" " tRNA-dihydrouridine synthase, conserved site"
"ostta01g01870" " unnamed product"
"ostta01g01890" " Forkhead-associated FHA domain"
"ostta01g02180" " Leucine-rich repeat, typical subtype"
"ostta01g02360" " DHHA2"
"ostta01g02510" " CRAL/TRIO, N-terminal domain"
"ostta01g02520" " Beta-lactamase-like"
"ostta01g02630" " Phosphatidylinositol-glycan biosynthesis class S protein"
"ostta01g02640" " Class II glutamine amidotransferase domain"
"ostta01g02720" " BSD"
"ostta01g02770" " Isochorismatase-like"
"ostta01g02830" " E3 UFM1-protein ligase 1"
"ostta01g02845" " Mannosyltransferase, DXD"
"ostta01g02870" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02880" " unnamed product"
"ostta01g02930" " Helicase, C-terminal"
"ostta01g02940" " Peptidoglycan binding-like"
"ostta01g03160" " Spindle assembly checkpoint component Mad1"
"ostta01g03180" " YjeF N-terminal domain"
"ostta01g03290" " Streptomyces cyclase/dehydrase"
"ostta01g03330" " Metridin-like ShK toxin"
"ostta01g03340" " PCI/PINT associated module"
"ostta01g03350" " Zinc finger, RING-CH-type"
"ostta01g03540" " Sterile alpha motif, type 1"
"ostta01g03560" " DnaJ domain, conserved site"
"ostta01g03680" " DHBP synthase RibB-like alpha/beta domain"
"ostta01g03690" " unnamed product"
"ostta01g03710" " unnamed product"
"ostta01g03840" " Phospholipase D/Transphosphatidylase"
"ostta01g03870" " Domain of unknown function SprT-like"
"ostta01g03900" " Pre-mRNA-splicing factor 38"
"ostta01g03920" " unnamed product"
"ostta01g03930" " Rad21/Rec8-like protein, N-terminal"
