"geneID" "annotation"
"ostta01g00080" " unnamed product"
"ostta01g00240" " FAD linked oxidase, N-terminal"
"ostta01g00380" " Transcription factor IIIC, 90kDa subunit, N-terminal"
"ostta01g00400" " 26S proteasome regulatory subunit, C-terminal"
"ostta01g00430" " unnamed product"
"ostta01g00440" " Voltage-dependent potassium channel"
"ostta01g00450" " unnamed product"
"ostta01g00460" " WD40/YVTN repeat-like-containing domain"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00610" " Lipase, GDSL"
"ostta01g00640" " unnamed product"
"ostta01g00850" " Lamin Tail Domain"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g01080" " Mediator complex, subunit Med4"
"ostta01g01100" " unnamed product"
"ostta01g01140" " ARP2/3 complex, 20kDa subunit P20-Arc"
"ostta01g01200" " unnamed product"
"ostta01g01210" " Transcription initiation factor TFIID, 23-30kDa subunit"
"ostta01g01310" " unnamed product"
"ostta01g01400" " unnamed product"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g01650" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g01660" " unnamed product"
"ostta01g01670" " Ribonucleoprotein LSM domain, eukaryotic/archaea-type"
"ostta01g01690" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g01760" " unnamed product"
"ostta01g01950" " Nucleotide-binding, alpha-beta plait"
"ostta01g01960" " unnamed product"
"ostta01g01970" " unnamed product"
"ostta01g02230" " unnamed product"
"ostta01g02270" " Actin-related protein 3 Arp3"
"ostta01g02320" " Ribosomal protein L35"
"ostta01g02370" " Vacuolar protein sorting-associated protein 26"
"ostta01g02380" " Transcription elongation factor 1"
"ostta01g02420" " unnamed product"
"ostta01g02450" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02470" " Mitochondrial substrate/solute carrier"
"ostta01g02490" " G-protein beta WD-40 repeat"
"ostta01g02540" " unnamed product"
"ostta01g02570" " Protein of unknown function DUF2419"
"ostta01g02630" " Phosphatidylinositol-glycan biosynthesis class S protein"
"ostta01g02640" " Class II glutamine amidotransferase domain"
"ostta01g02720" " BSD"
"ostta01g02770" " Isochorismatase-like"
"ostta01g02800" " unnamed product"
"ostta01g02880" " unnamed product"
"ostta01g02920" " Bromodomain"
"ostta01g02970" " Histone-fold"
"ostta01g03020" " Crotonase superfamily"
"ostta01g03060" " Dienelactone hydrolase"
"ostta01g03110" " Proteasome B-type subunit"
"ostta01g03140" " Cytochrome c oxidase, subunit Vb"
"ostta01g03210" " Nuclear transport factor 2, Eukaryote"
"ostta01g03250" " EF-Hand 1, calcium-binding site"
"ostta01g03330" " Metridin-like ShK toxin"
"ostta01g03560" " DnaJ domain, conserved site"
"ostta01g03570" " MIF4-like, type 1/2/3"
"ostta01g03610" " Immunoglobulin-like fold"
"ostta01g03680" " DHBP synthase RibB-like alpha/beta domain"
"ostta01g03690" " unnamed product"
"ostta01g03720" " DNA cytosine-5-methyltransferase 1, replication foci domain"
"ostta01g03790" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g03800" " CAP Gly-rich domain"
"ostta01g03810" " Glycerol-3-phosphate dehydrogenase, NAD-dependent"
"ostta01g03870" " Domain of unknown function SprT-like"
"ostta01g03940" " Prefoldin"
"ostta01g04060" " PHF5-like"
"ostta01g04130" " Homeodomain-like"
"ostta01g04180" " Chitobiase/beta-hexosaminidase C-terminal domain"
"ostta01g04200" " Preprotein translocase Sec, Sec61-beta subunit"
