"geneID" "annotation"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00330" " unnamed product"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00570" " Anticodon-binding"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00850" " Lamin Tail Domain"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g01300" " unnamed product"
"ostta01g01350" " unnamed product"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01740" " Uracil-5-methyltransferase"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g01920" " unnamed product"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g02040" " unnamed product"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02220" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02230" " unnamed product"
"ostta01g02310" " unnamed product"
"ostta01g02760" " Carbohydrate binding module family 20"
"ostta01g02825" " Nucleotide-binding, alpha-beta plait"
"ostta01g02910" " Ubinuclein/Yemanuclein"
"ostta01g03020" " Crotonase superfamily"
"ostta01g03030" " FAD linked oxidase, N-terminal"
"ostta01g03040" " Fructose-bisphosphate aldolase, class-I"
"ostta01g03170" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g03350" " Zinc finger, RING-CH-type"
"ostta01g03390" " Uroporphyrinogen decarboxylase URO-D"
"ostta01g03460" " unnamed product"
"ostta01g03500" " Mitochondrial substrate/solute carrier"
"ostta01g03630" " Nucleoporin FG repeat"
"ostta01g03890" " Histone core"
"ostta01g04020" " Calycin-like"
"ostta01g04040" " unnamed product"
"ostta01g04070" " WD40/YVTN repeat-like-containing domain"
"ostta01g04110" " SWAP/Surp"
"ostta01g04120" " von Willebrand factor, type A"
"ostta01g04190" " Quinonprotein alcohol dehydrogenase-like superfamily"
"ostta01g04310" " Taxilin family"
"ostta01g04490" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta01g04585" " hypothetical protein"
"ostta01g04610" " Chromatin assembly factor 1 subunit A"
"ostta01g04800" " unnamed product"
"ostta01g04830" " Ubiquinol-cytochrome c chaperone/UPF0174"
"ostta01g05000" " Peptidase S1C"
"ostta01g05060" " Mss4-like"
"ostta01g05110" " Pentatricopeptide repeat"
"ostta01g05230" " G-protein beta WD-40 repeat"
"ostta01g05290" " Glycoside hydrolase-type carbohydrate-binding, subgroup"
"ostta01g05390" " BolA protein"
"ostta01g05440" " Armadillo-type fold"
"ostta01g05570" " Uncharacterised protein family UPF0016"
"ostta01g05620" " Pyridoxal phosphate-dependent transferase, major region, subdomain 1"
"ostta01g05640" " Tetratricopeptide repeat"
"ostta01g05660" " Nucleotide-binding, alpha-beta plait"
"ostta01g05690" " Magnesium chelatase, ATPase subunit I"
"ostta01g05810" " Frizzled domain"
"ostta01g05890" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05920" " Thymidylate synthase"
"ostta01g06010" " BRCT domain"
"ostta01g06020" " unnamed product"
"ostta01g06050" " SANT/Myb domain"
"ostta01g06080" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g06200" " unnamed product"
"ostta01g06230" " unnamed product"
"ostta01g06400" " Gemin6"
"ostta01g06410" " unnamed product"
"ostta01g06420" " WD40 repeat"
"ostta01g06530" " Domain of unknown function DUF2040"
"ostta01g06670" " Insulin-induced protein family"
"ostta02g00100" " Histone core"
"ostta02g00190" " unnamed product"
"ostta02g00200" " GNS1/SUR4 membrane protein"
"ostta02g00210" " Aspartyl/Asparaginyl beta-hydroxylase"
"ostta02g00250" " Ribosomal protein L24e, conserved site"
"ostta02g00290" " Methyltransferase domain"
"ostta02g00410" " WD40 repeat"
"ostta02g00480" " Zinc finger, RING-H2-type"
"ostta02g00510" " unnamed product"
"ostta02g00580" " Photosystem I PsaL, reaction centre subunit XI"
"ostta02g00600" " RNA polymerase III subunit RPC82-related, helix-turn-helix"
"ostta02g00640" " Pseudouridine synthase/archaeosine transglycosylase"
"ostta02g00840" " Glucokinase n/a  Glucokinase"
"ostta02g00850" " unnamed product"
"ostta02g00880" " DNA-directed RNA polymerase, 30-40kDa subunit, conserved site"
"ostta02g00940" " Ribose-phosphate diphosphokinase"
"ostta02g00960" " U3 small nucleolar RNA-associated protein 6"
"ostta02g01020" " Heat shock protein 70 family"
"ostta02g01070" " Phosphotyrosyl phosphatase activator, PTPA"
"ostta02g01080" " Ribosomal protein L17"
"ostta02g01120" " Mak16 protein"
"ostta02g01140" " Arginine-tRNA ligase, class Ia"
"ostta02g01160" " SKI-interacting protein SKIP, SNW domain"
