"geneID" "annotation"
"ostta01g00010" " unnamed product"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00240" " FAD linked oxidase, N-terminal"
"ostta01g00280" " Peptidase M24, methionine aminopeptidase"
"ostta01g00330" " unnamed product"
"ostta01g00540" " Drug/metabolite transporter"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00590" " Aldo/keto reductase, conserved site"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00880" " Ankyrin repeat"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01060" " unnamed product"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01580" " Prefoldin"
"ostta01g01740" " Uracil-5-methyltransferase"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g01920" " unnamed product"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02230" " unnamed product"
"ostta01g02350" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g02430" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02520" " Beta-lactamase-like"
"ostta01g02720" " BSD"
"ostta01g02760" " Carbohydrate binding module family 20"
"ostta01g02790" " Sulfotransferase"
"ostta01g02820" " unnamed product"
"ostta01g02825" " Nucleotide-binding, alpha-beta plait"
"ostta01g02840" " Glutathione S-transferase, N-terminal"
"ostta01g02850" " Serine/threonine-protein kinase, active site"
"ostta01g02880" " unnamed product"
"ostta01g02910" " Ubinuclein/Yemanuclein"
"ostta01g03030" " FAD linked oxidase, N-terminal"
"ostta01g03040" " Fructose-bisphosphate aldolase, class-I"
"ostta01g03110" " Proteasome B-type subunit"
"ostta01g03130" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g03200" " Six-bladed beta-propeller, TolB-like"
"ostta01g03260" " Nuclear control of ATP synthase 2"
"ostta01g03290" " Streptomyces cyclase/dehydrase"
"ostta01g03390" " Uroporphyrinogen decarboxylase URO-D"
"ostta01g03450" " Rhodanese-like domain"
"ostta01g03460" " unnamed product"
"ostta01g03660" " Metridin-like ShK toxin"
"ostta01g03680" " DHBP synthase RibB-like alpha/beta domain"
"ostta01g03730" " FIST domain, N-terminal"
"ostta01g03800" " CAP Gly-rich domain"
"ostta01g03840" " Phospholipase D/Transphosphatidylase"
"ostta01g03890" " Histone core"
"ostta01g03910" " EF-Hand 1, calcium-binding site"
"ostta01g04020" " Calycin-like"
"ostta01g04070" " WD40/YVTN repeat-like-containing domain"
"ostta01g04110" " SWAP/Surp"
"ostta01g04120" " von Willebrand factor, type A"
"ostta01g04170" " Domain of unknown function DUF1995"
"ostta01g04270" " Serine/threonine-protein kinase, active site"
"ostta01g04310" " Taxilin family"
"ostta01g04480" " Carotenoid oxygenase"
"ostta01g04580" " Amino acid transporter, transmembrane"
"ostta01g04590" " unnamed product"
"ostta01g04740" " Helix-hairpin-helix motif, class 2"
