"geneID" "annotation"
"ostta01g00020" " 6-phosphofructo-2-kinase"
"ostta01g00050" " Cation/H+ exchanger"
"ostta01g00060" " NUDIX hydrolase domain-like"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00200" " UBA-like"
"ostta01g00270" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g00280" " Peptidase M24, methionine aminopeptidase"
"ostta01g00300" " unnamed product"
"ostta01g00310" " Putative S-adenosyl-L-methionine-dependent methyltransferase MidA"
"ostta01g00390" " DNA/pantothenate metabolism flavoprotein, C-terminal"
"ostta01g00430" " unnamed product"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00540" " Drug/metabolite transporter"
"ostta01g00570" " Anticodon-binding"
"ostta01g00650" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00660" " unnamed product"
"ostta01g00690" " Concanavalin A-like lectin/glucanases superfamily"
"ostta01g00730" " HD/PDEase domain"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00820" " Nucleolar pre-ribosomal-associated protein 1, N-terminal"
"ostta01g00830" "' ATPase, F0 complex, subunit B/B'', bacterial/chloroplast'"
"ostta01g00860" " Nucleic acid-binding, OB-fold"
"ostta01g00950" " Osteopontin"
"ostta01g00970" " Pseudouridine synthase/archaeosine transglycosylase"
"ostta01g00990" " THO complex subunit 7/Mft1"
"ostta01g01030" " Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III"
"ostta01g01060" " unnamed product"
"ostta01g01120" " Protein of unknown function DUF1365"
"ostta01g01130" " Lipase, class 3"
"ostta01g01140" " ARP2/3 complex, 20kDa subunit P20-Arc"
"ostta01g01180" " 3Fe-4S ferredoxin"
"ostta01g01210" " Transcription initiation factor TFIID, 23-30kDa subunit"
"ostta01g01220" " unnamed product"
"ostta01g01310" " unnamed product"
"ostta01g01440" " Nucleotide-diphospho-sugar transferase"
"ostta01g01450" " Aspartate kinase, conserved site"
"ostta01g01550" " K Homology domain, type 1"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01580" " Prefoldin"
"ostta01g01590" " Ornithine/putrescine carbamoyltransferase"
"ostta01g01600" " MIF4-like, type 1/2/3"
"ostta01g01640" " Ovarian tumour, otubain"
"ostta01g01670" " Ribonucleoprotein LSM domain, eukaryotic/archaea-type"
"ostta01g01740" " Uracil-5-methyltransferase"
"ostta01g01750" " tRNA-dihydrouridine synthase, conserved site"
"ostta01g01760" " unnamed product"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
"ostta01g01860" " 23S rRNA uracil1939-C5-methyltransferase RlmD"
"ostta01g01950" " Nucleotide-binding, alpha-beta plait"
"ostta01g01960" " unnamed product"
"ostta01g02130" " HNH endonuclease"
"ostta01g02290" " Zinc finger, PHD-finger"
"ostta01g02330" " Uncharacterised domain UPF0066, YaeB-like domain"
"ostta01g02350" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g02410" " Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain"
"ostta01g02420" " unnamed product"
"ostta01g02470" " Mitochondrial substrate/solute carrier"
"ostta01g02520" " Beta-lactamase-like"
"ostta01g02560" " siRNA-mediated silencing protein NRDE-2"
"ostta01g02620" " Protein of unknown function DUF842, eukaryotic"
"ostta01g02640" " Class II glutamine amidotransferase domain"
"ostta01g02690" " Tetratricopeptide repeat"
"ostta01g02720" " BSD"
"ostta01g02740" " ISC system FeS cluster assembly, IscU scaffold"
"ostta01g02750" " Lipase, class 3"
"ostta01g02825" " Nucleotide-binding, alpha-beta plait"
"ostta01g02845" " Mannosyltransferase, DXD"
"ostta01g02850" " Serine/threonine-protein kinase, active site"
"ostta01g02930" " Helicase, C-terminal"
"ostta01g03020" " Crotonase superfamily"
"ostta01g03030" " FAD linked oxidase, N-terminal"
"ostta01g03070" " Activator of Hsp90 ATPase homologue 1-like"
"ostta01g03110" " Proteasome B-type subunit"
"ostta01g03160" " Spindle assembly checkpoint component Mad1"
"ostta01g03170" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g03190" " Translation elongation factor, IF5A C-terminal"
"ostta01g03210" " Nuclear transport factor 2, Eukaryote"
