ostta atha
ostta01g00140 AT3G48420
ostta01g00550 AT3G08920
ostta01g01000 AT1G78770
ostta01g01410 AT5G54130
ostta01g01820 AT4G28030
ostta01g01980 AT1G09795
ostta01g02080 AT1G14345
ostta01g02210 AT5G23860
ostta01g03040 AT2G01140
ostta01g03390 AT2G40490
ostta01g03450 AT3G08920
ostta01g03800 AT1G71440
ostta01g04070 AT2G47410
ostta01g04120 AT1G67120
ostta01g04480 AT4G32810
ostta01g04940 AT5G01530
ostta01g05110 AT2G32230
ostta01g05170 AT5G09850
ostta01g05200 AT5G44785
ostta01g05230 AT5G15550
ostta01g05690 AT5G45930
ostta10g00100 AT2G31170
ostta10g00200 AT4G35760
ostta10g00250 AT1G34360
ostta10g00310 AT5G52800
ostta10g00360 AT3G48425
ostta10g00370 AT4G33120
ostta10g00565 AT3G56510
ostta10g01470 AT1G18270
ostta10g01550 AT2G01320
ostta10g01890 AT1G09020
ostta10g01980 AT4G25700
ostta10g02410 AT3G16630
ostta10g02440 AT3G63530
ostta10g02720 AT5G49930
ostta10g03365 AT4G26160
ostta11g00570 AT1G26760
ostta11g00690 AT1G58290
ostta11g00830 AT1G80680
ostta11g00840 AT2G20050
ostta11g01030 AT1G55930
ostta11g01060 AT1G28420
ostta11g01180 AT4G10760
ostta11g01240 AT4G02720
ostta11g01500 AT4G22260
ostta11g01980 AT4G23940
ostta11g02290 AT3G62140
ostta12g00400 AT2G40860
ostta12g00420 ATCG00220
ostta12g01390 AT1G44446
ostta12g01680 AT5G45360
ostta12g01700 AT3G19010
ostta12g01970 AT1G03600
ostta12g02170 AT1G55790
ostta12g02630 AT5G45370
ostta12g02980 AT5G35080
ostta12g03170 AT1G73600
ostta13g01910 AT5G38660
ostta13g02420 AT3G21390
ostta13g02680 AT5G49560
ostta13g02760 AT4G37110
ostta13g03000 AT1G24050
ostta14g00050 AT3G61680
ostta14g00065 AT4G10340
ostta14g01220 AT5G24490
ostta14g01340 AT2G35930
ostta14g01500 AT5G53470
ostta14g02775 AT4G39540
ostta14g03080 AT4G34830
ostta15g00900 AT3G63140
ostta15g01210 AT3G12290
ostta15g01230 AT5G11450
ostta15g01250 AT1G15960
ostta15g01610 AT2G37990
ostta15g01820 AT5G60160
ostta15g01850 AT5G18660
ostta15g01890 AT1G62640
ostta15g02410 AT3G57890
ostta15g02670 AT1G03130
ostta16g00420 AT2G04700
ostta16g00450 AT5G01530
ostta16g00990 AT2G03820
ostta16g01110 AT3G19900
ostta16g01180 AT5G42820
ostta16g01450 AT2G42910
ostta16g01690 AT5G24420
ostta16g01910 AT2G26930
ostta16g02060 AT1G28560
ostta16g02310 AT2G40100
ostta16g02345 AT5G11230
ostta16g02590 AT1G16720
ostta16g02620 AT1G16010
ostta17g00100 AT3G59400
ostta17g00620 AT3G56570
ostta17g01170 AT2G21530
ostta17g01310 AT2G38025
ostta17g01360 AT3G24430
ostta17g01400 AT1G78510
ostta17g01550 AT3G26410
ostta17g01910 AT5G20660
ostta17g02080 AT5G04040
ostta17g02120 AT3G16260
ostta17g02130 AT1G06690
ostta17g02150 AT4G11440
ostta18g00140 AT1G25682
ostta18g00940 AT1G50480
ostta18g01000 AT2G21960
ostta18g01090 AT2G13360
ostta18g01160 AT5G23690
ostta18g01230 AT1G61520
ostta18g01520 AT4G29590
ostta18g01550 AT4G35250
ostta18g01650 AT3G50590
ostta18g01680 AT3G57000
ostta02g00410 AT5G14050
ostta02g00600 AT3G49000
ostta02g00940 AT1G32380
ostta02g01120 AT1G23280
ostta02g01290 AT3G61770
ostta02g01840 AT5G46290
ostta02g03290 AT3G56160
ostta02g03330 AT3G47470
ostta02g03410 AT3G56690
ostta02g03430 AT5G63960
ostta02g03560 AT4G24570
ostta02g03860 AT2G20260
ostta02g04020 AT1G29150
ostta02g04260 AT3G16270
ostta20g00740 AT5G63860
ostta20g00860 AT5G50340
ostta20g00910 AT5G63060
ostta03g00350 AT3G54050
ostta03g00690 AT3G05060
ostta03g01030 AT3G25860
ostta03g01160 AT3G54470
ostta03g01980 AT5G47110
ostta03g02050 AT4G35760
ostta03g02130 AT1G15080
ostta03g02500 AT5G46800
ostta03g02820 AT4G13430
ostta03g02830 AT1G17290
ostta03g03015 AT3G08740
ostta03g03070 AT2G27760
ostta03g03160 AT1G03475
ostta03g03750 AT1G06570
ostta03g03960 AT4G07950
ostta03g03980 AT3G13330
ostta03g04080 AT5G19050
ostta03g04170 AT2G33540
ostta03g04430 AT1G71840
ostta03g05500 AT3G55800
ostta03g05620 AT1G12370
ostta04g00070 AT1G71500
ostta04g00440 AT2G34460
ostta04g00490 AT2G23530
ostta04g00930 AT1G22850
ostta04g00970 AT5G26742
ostta04g01610 AT1G11870
ostta04g01790 AT1G31330
ostta04g01820 AT4G14690
ostta04g01970 AT1G31600
ostta04g02020 AT4G38890
ostta04g02510 AT2G39730
ostta04g02530 AT2G33540
ostta04g02640 AT2G06025
ostta04g02650 AT3G55400
ostta04g02740 AT1G32060
ostta04g03190 AT4G01800
ostta04g03560 AT2G36990
ostta04g03870 AT1G06470
ostta04g04000 AT5G26570
ostta04g04310 AT1G02870
ostta04g04410 AT5G06620
ostta04g04470 AT5G17660
ostta04g04760 AT5G22330
ostta04g05380 AT3G48990
ostta04g05470 AT5G05130
ostta04g05550 AT3G60740
ostta05g00300 AT3G03180
ostta05g00360 AT5G57280
ostta05g00850 AT2G38330
ostta05g00940 AT3G15360
ostta05g01230 AT5G08280
ostta05g01660 AT3G26120
ostta05g02270 AT5G12920
ostta05g02380 AT5G66990
ostta05g02418 AT2G21280
ostta05g02550 AT5G57020
ostta05g02740 AT4G11640
ostta05g02880 AT3G12930
ostta05g02920 AT3G10730
ostta05g03020 AT5G11720
