"geneID" "annotation"
"ostta01g00010" " unnamed product"
"ostta01g00070" " Voltage-dependent potassium channel"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00120" " Protein of unknown function DUF4336"
"ostta01g00130" " Thioredoxin-like fold"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00150" " Phytanoyl-CoA dioxygenase"
"ostta01g00160" " Dymeclin"
"ostta01g00180" " unnamed product"
"ostta01g00230" " unnamed product"
"ostta01g00290" " unnamed product"
"ostta01g00330" " unnamed product"
"ostta01g00340" " unnamed product"
"ostta01g00350" " unnamed product"
"ostta01g00360" " Peptidase M24, methionine aminopeptidase"
"ostta01g00400" " 26S proteasome regulatory subunit, C-terminal"
"ostta01g00440" " Voltage-dependent potassium channel"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00560" " Dynein light chain, type 1/2"
"ostta01g00610" " Lipase, GDSL"
"ostta01g00630" " ATPase, AFG1-like"
"ostta01g00640" " unnamed product"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00680" " Protein prenyltransferase, alpha subunit"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00740" " Zinc/iron permease"
"ostta01g00790" " Fatty acid desaturase, type 1"
"ostta01g00810" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00880" " Ankyrin repeat"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00920" " DNA-directed RNA polymerase, RBP11-like dimerisation domain"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01070" " TRAM/LAG1/CLN8 homology domain"
"ostta01g01100" " unnamed product"
"ostta01g01170" " SAP domain"
"ostta01g01190" " Cytochrome c oxidase assembly protein COX16"
"ostta01g01230" " Prephenate dehydratase, conserved site"
"ostta01g01250" " unnamed product"
"ostta01g01290" " unnamed product"
"ostta01g01320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g01350" " unnamed product"
"ostta01g01400" " unnamed product"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g01420" " Radical SAM"
"ostta01g01430" " Rhodanese-like domain"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01660" " unnamed product"
"ostta01g01690" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g01700" " K Homology domain, type 1"
"ostta01g01780" " RmlC-like jelly roll fold"
"ostta01g01790" " Nucleotide-binding, alpha-beta plait"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g01830" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01900" " unnamed product"
"ostta01g01970" " unnamed product"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02100" " Nucleotide-binding, alpha-beta plait"
"ostta01g02110" " unnamed product"
"ostta01g02120" " TFIIH subunit Tfb4/p34"
"ostta01g02140" " Domain of unknown function DUF814"
"ostta01g02150" " unnamed product"
"ostta01g02170" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02220" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02250" " DNA-directed RNA polymerase III subunit Rpc5"
"ostta01g02270" " Actin-related protein 3 Arp3"
"ostta01g02300" " RAP domain"
"ostta01g02320" " Ribosomal protein L35"
"ostta01g02390" " Porphobilinogen synthase"
"ostta01g02430" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02450" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02460" " Protein phosphatase 2C PP2C-like domain"
"ostta01g02480" " Aspartate-semialdehyde dehydrogenase"
"ostta01g02490" " G-protein beta WD-40 repeat"
"ostta01g02500" " Ribonuclease III domain"
"ostta01g02510" " CRAL/TRIO, N-terminal domain"
"ostta01g02530" " Protein of unknown function DUF812"
"ostta01g02570" " Protein of unknown function DUF2419"
"ostta01g02615" " Mitochondrial import protein TIM15"
"ostta01g02617" " hypothetical protein"
"ostta01g02650" " Acyl-CoA dehydrogenase/oxidase C-terminal"
"ostta01g02710" " Thioredoxin-like fold"
"ostta01g02780" " Armadillo-type fold"
"ostta01g02840" " Glutathione S-transferase, N-terminal"
"ostta01g02847" " Glutathione S-transferase, N-terminal"
"ostta01g02860" " Domain of unknown function DUF3825"
"ostta01g02870" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02895" " tRNA/rRNA methyltransferase, SpoU"
"ostta01g02910" " Ubinuclein/Yemanuclein"
"ostta01g02920" " Bromodomain"
"ostta01g02960" " Peptidyl-tRNA hydrolase"
