"geneID" "annotation"
"ostta01g00060" " NUDIX hydrolase domain-like"
"ostta01g00200" " UBA-like"
"ostta01g00220" " unnamed product"
"ostta01g00250" " Inositol polyphosphate kinase"
"ostta01g00260" " Tetratricopeptide repeat"
"ostta01g00270" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g00300" " unnamed product"
"ostta01g00320" " Acyl-CoA dehydrogenase/oxidase, N-terminal"
"ostta01g00370" " Mitochondrial pyruvate carrier"
"ostta01g00410" " Signal recognition particle, SRP19 subunit"
"ostta01g00485" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00510" " unnamed product"
"ostta01g00580" " Multi antimicrobial extrusion protein"
"ostta01g00640" " unnamed product"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00770" " Transmembrane protein 186"
"ostta01g00840" " unnamed product"
"ostta01g00870" " hypothetical protein n/a  unnamed product"
"ostta01g00920" " DNA-directed RNA polymerase, RBP11-like dimerisation domain"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g01020" " Plectin/S10, N-terminal"
"ostta01g01120" " Protein of unknown function DUF1365"
"ostta01g01330" " unnamed product"
"ostta01g01340" " IQ motif, EF-hand binding site"
"ostta01g01370" " Leucine-rich repeat"
"ostta01g01390" " IQ motif, EF-hand binding site"
"ostta01g01440" " Nucleotide-diphospho-sugar transferase"
"ostta01g01470" " Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal"
"ostta01g01490" " Ubiquitin carboxyl-terminal hydrolases family 2"
"ostta01g01510" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g01540" " Single-stranded nucleic acid binding R3H"
"ostta01g01550" " K Homology domain, type 1"
"ostta01g01600" " MIF4-like, type 1/2/3"
"ostta01g01660" " unnamed product"
"ostta01g01680" " Rab-GTPase-TBC domain"
"ostta01g01800" " Sec-independent protein translocase protein TatA/E"
"ostta01g01855" " Tocopherol cyclase"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01890" " Forkhead-associated FHA domain"
"ostta01g01900" " unnamed product"
"ostta01g01910" " unnamed product"
"ostta01g01970" " unnamed product"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
"ostta01g02000" " Ketopantoate reductase ApbA/PanE, N-terminal"
"ostta01g02070" " Sushi/SCR/CCP"
"ostta01g02110" " unnamed product"
"ostta01g02160" " WD40 repeat"
"ostta01g02260" " unnamed product"
"ostta01g02280" " unnamed product"
"ostta01g02320" " Ribosomal protein L35"
"ostta01g02330" " Uncharacterised domain UPF0066, YaeB-like domain"
"ostta01g02400" " Ribosomal protein S8"
"ostta01g02480" " Aspartate-semialdehyde dehydrogenase"
"ostta01g02560" " siRNA-mediated silencing protein NRDE-2"
"ostta01g02570" " Protein of unknown function DUF2419"
"ostta01g02620" " Protein of unknown function DUF842, eukaryotic"
"ostta01g02630" " Phosphatidylinositol-glycan biosynthesis class S protein"
"ostta01g02830" " E3 UFM1-protein ligase 1"
"ostta01g02970" " Histone-fold"
"ostta01g03070" " Activator of Hsp90 ATPase homologue 1-like"
"ostta01g03150" " S15/NS1, RNA-binding"
"ostta01g03160" " Spindle assembly checkpoint component Mad1"
"ostta01g03230" " Mog1/PsbP, alpha/beta/alpha sandwich"
