"geneID" "annotation"
"ostta01g00030" " unnamed product"
"ostta01g00040" " Malic enzyme, NAD-binding"
"ostta01g00050" " Cation/H+ exchanger"
"ostta01g00060" " NUDIX hydrolase domain-like"
"ostta01g00080" " unnamed product"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00110" " unnamed product"
"ostta01g00120" " Protein of unknown function DUF4336"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00150" " Phytanoyl-CoA dioxygenase"
"ostta01g00180" " unnamed product"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00220" " unnamed product"
"ostta01g00240" " FAD linked oxidase, N-terminal"
"ostta01g00250" " Inositol polyphosphate kinase"
"ostta01g00260" " Tetratricopeptide repeat"
"ostta01g00280" " Peptidase M24, methionine aminopeptidase"
"ostta01g00290" " unnamed product"
"ostta01g00300" " unnamed product"
"ostta01g00320" " Acyl-CoA dehydrogenase/oxidase, N-terminal"
"ostta01g00330" " unnamed product"
"ostta01g00360" " Peptidase M24, methionine aminopeptidase"
"ostta01g00370" " Mitochondrial pyruvate carrier"
"ostta01g00410" " Signal recognition particle, SRP19 subunit"
"ostta01g00485" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00500" " unnamed product"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00540" " Drug/metabolite transporter"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00560" " Dynein light chain, type 1/2"
"ostta01g00570" " Anticodon-binding"
"ostta01g00580" " Multi antimicrobial extrusion protein"
"ostta01g00590" " Aldo/keto reductase, conserved site"
"ostta01g00630" " ATPase, AFG1-like"
"ostta01g00640" " unnamed product"
"ostta01g00650" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00770" " Transmembrane protein 186"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00790" " Fatty acid desaturase, type 1"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00810" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00820" " Nucleolar pre-ribosomal-associated protein 1, N-terminal"
"ostta01g00860" " Nucleic acid-binding, OB-fold"
"ostta01g00870" " hypothetical protein n/a  unnamed product"
"ostta01g00890" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00920" " DNA-directed RNA polymerase, RBP11-like dimerisation domain"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g00950" " Osteopontin"
"ostta01g00980" " Pyrophosphate-energised proton pump"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01200" " unnamed product"
"ostta01g01220" " unnamed product"
"ostta01g01230" " Prephenate dehydratase, conserved site"
"ostta01g01250" " unnamed product"
"ostta01g01290" " unnamed product"
"ostta01g01295" " hypothetical protein"
"ostta01g01330" " unnamed product"
"ostta01g01340" " IQ motif, EF-hand binding site"
"ostta01g01350" " unnamed product"
"ostta01g01390" " IQ motif, EF-hand binding site"
"ostta01g01420" " Radical SAM"
"ostta01g01430" " Rhodanese-like domain"
"ostta01g01440" " Nucleotide-diphospho-sugar transferase"
"ostta01g01450" " Aspartate kinase, conserved site"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01470" " Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal"
"ostta01g01490" " Ubiquitin carboxyl-terminal hydrolases family 2"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01510" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01580" " Prefoldin"
"ostta01g01590" " Ornithine/putrescine carbamoyltransferase"
"ostta01g01600" " MIF4-like, type 1/2/3"
"ostta01g01620" " unnamed product"
"ostta01g01660" " unnamed product"
"ostta01g01670" " Ribonucleoprotein LSM domain, eukaryotic/archaea-type"
"ostta01g01740" " Uracil-5-methyltransferase"
"ostta01g01790" " Nucleotide-binding, alpha-beta plait"
"ostta01g01800" " Sec-independent protein translocase protein TatA/E"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
