"geneID" "annotation"
"ostta01g00020" " 6-phosphofructo-2-kinase"
"ostta01g00030" " unnamed product"
"ostta01g00050" " Cation/H+ exchanger"
"ostta01g00080" " unnamed product"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00100" " Exonuclease, RNase T/DNA polymerase III"
"ostta01g00160" " Dymeclin"
"ostta01g00170" " unnamed product"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00200" " UBA-like"
"ostta01g00230" " unnamed product"
"ostta01g00240" " FAD linked oxidase, N-terminal"
"ostta01g00250" " Inositol polyphosphate kinase"
"ostta01g00280" " Peptidase M24, methionine aminopeptidase"
"ostta01g00300" " unnamed product"
"ostta01g00310" " Putative S-adenosyl-L-methionine-dependent methyltransferase MidA"
"ostta01g00320" " Acyl-CoA dehydrogenase/oxidase, N-terminal"
"ostta01g00380" " Transcription factor IIIC, 90kDa subunit, N-terminal"
"ostta01g00430" " unnamed product"
"ostta01g00440" " Voltage-dependent potassium channel"
"ostta01g00450" " unnamed product"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00510" " unnamed product"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00540" " Drug/metabolite transporter"
"ostta01g00580" " Multi antimicrobial extrusion protein"
"ostta01g00650" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00660" " unnamed product"
"ostta01g00680" " Protein prenyltransferase, alpha subunit"
"ostta01g00690" " Concanavalin A-like lectin/glucanases superfamily"
"ostta01g00730" " HD/PDEase domain"
"ostta01g00740" " Zinc/iron permease"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g00950" " Osteopontin"
"ostta01g00960" " unnamed product"
"ostta01g00970" " Pseudouridine synthase/archaeosine transglycosylase"
"ostta01g00980" " Pyrophosphate-energised proton pump"
"ostta01g00990" " THO complex subunit 7/Mft1"
"ostta01g01030" " Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01060" " unnamed product"
"ostta01g01070" " TRAM/LAG1/CLN8 homology domain"
"ostta01g01080" " Mediator complex, subunit Med4"
"ostta01g01085" " Translocon-associated protein subunit beta"
"ostta01g01100" " unnamed product"
"ostta01g01120" " Protein of unknown function DUF1365"
"ostta01g01130" " Lipase, class 3"
"ostta01g01180" " 3Fe-4S ferredoxin"
"ostta01g01190" " Cytochrome c oxidase assembly protein COX16"
"ostta01g01200" " unnamed product"
"ostta01g01210" " Transcription initiation factor TFIID, 23-30kDa subunit"
"ostta01g01250" " unnamed product"
"ostta01g01310" " unnamed product"
"ostta01g01320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g01330" " unnamed product"
"ostta01g01350" " unnamed product"
"ostta01g01380" " Cation efflux protein"
"ostta01g01440" " Nucleotide-diphospho-sugar transferase"
"ostta01g01450" " Aspartate kinase, conserved site"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01540" " Single-stranded nucleic acid binding R3H"
"ostta01g01550" " K Homology domain, type 1"
"ostta01g01590" " Ornithine/putrescine carbamoyltransferase"
"ostta01g01600" " MIF4-like, type 1/2/3"
"ostta01g01620" " unnamed product"
"ostta01g01640" " Ovarian tumour, otubain"
"ostta01g01670" " Ribonucleoprotein LSM domain, eukaryotic/archaea-type"
"ostta01g01740" " Uracil-5-methyltransferase"
"ostta01g01750" " tRNA-dihydrouridine synthase, conserved site"
"ostta01g01760" " unnamed product"
"ostta01g01780" " RmlC-like jelly roll fold"
"ostta01g01790" " Nucleotide-binding, alpha-beta plait"
"ostta01g01800" " Sec-independent protein translocase protein TatA/E"
"ostta01g01830" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g01855" " Tocopherol cyclase"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
"ostta01g02010" " Protein phosphatase 2C"
"ostta01g02120" " TFIIH subunit Tfb4/p34"
"ostta01g02200" " unnamed product"
"ostta01g02230" " unnamed product"
"ostta01g02290" " Zinc finger, PHD-finger"
"ostta01g02310" " unnamed product"
"ostta01g02330" " Uncharacterised domain UPF0066, YaeB-like domain"
"ostta01g02350" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g02370" " Vacuolar protein sorting-associated protein 26"
"ostta01g02410" " Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain"
