"geneID" "annotation"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00330" " unnamed product"
"ostta01g00500" " unnamed product"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00830" "' ATPase, F0 complex, subunit B/B'', bacterial/chloroplast'"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01800" " Sec-independent protein translocase protein TatA/E"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g02020" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g02390" " Porphobilinogen synthase"
"ostta01g02630" " Phosphatidylinositol-glycan biosynthesis class S protein"
"ostta01g02780" " Armadillo-type fold"
"ostta01g02860" " Domain of unknown function DUF3825"
"ostta01g02870" " Short-chain dehydrogenase/reductase SDR"
"ostta01g03030" " FAD linked oxidase, N-terminal"
"ostta01g03170" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g03310" " EF-Hand 1, calcium-binding site"
"ostta01g03390" " Uroporphyrinogen decarboxylase URO-D"
"ostta01g03420" " Pyrophosphate-energised proton pump"
"ostta01g03880" " Basic-leucine zipper domain"
"ostta01g04140" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g04170" " Domain of unknown function DUF1995"
"ostta01g04230" " Aldehyde dehydrogenase, C-terminal"
"ostta01g04360" " unnamed product"
"ostta01g04480" " Carotenoid oxygenase"
"ostta01g04630" " DNA-binding domain"
"ostta01g04940" " Chlorophyll A-B binding protein, plant"
"ostta01g05050" " unnamed product"
"ostta01g05070" " Insulin-like growth factor binding protein, N-terminal"
"ostta01g05190" " Splicing factor motif"
"ostta01g05690" " Magnesium chelatase, ATPase subunit I"
"ostta01g05780" " Conserved oligomeric Golgi complex subunit 8"
"ostta01g06310" " Signal transduction response regulator, receiver domain"
"ostta01g06400" " Gemin6"
"ostta01g06580" " Phospholipase D-like domain"
"ostta02g00020" " Peptidase C48, SUMO/Sentrin/Ubl1"
