"geneID" "annotation"
"ostta01g02320" " Ribosomal protein L35"
"ostta01g02510" " CRAL/TRIO, N-terminal domain"
"ostta01g06430" " Crotonase superfamily"
"ostta02g05080" " mRNA capping enzyme"
"ostta03g01120" " unnamed product"
"ostta03g01160" "' Orotidine 5''-phosphate decarboxylase, active site'"
"ostta03g02830" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta04g01970" " Alpha-ketoglutarate-dependent dioxygenase AlkB-like"
"ostta04g03870" " Triose-phosphate transporter domain"
"ostta05g02140" " Peptidase S54, rhomboid domain"
"ostta05g02290" " Drug/metabolite transporter"
"ostta05g04350" " unnamed product"
"ostta07g00960" " Cytochrome b561/ferric reductase transmembrane"
"ostta07g02560" " unnamed product"
"ostta07g03490" " Uracil phosphoribosyl transferase"
"ostta08g00220" " Leucine carboxyl methyltransferase"
"ostta08g02130" " Ankyrin repeat"
"ostta09g00410" " Transcription factor  Iwr1"
"ostta09g02620" " Nucleic acid-binding, OB-fold"
"ostta09g02770" " Nicotinamide N-methyltransferase-like"
"ostta09g02790" "' 3''-5'' exonuclease domain'"
"ostta09g02960" " Choline transporter-like"
"ostta10g00360" " Endonuclease/exonuclease/phosphatase"
"ostta10g00370" " Mycolic acid cyclopropane synthase"
"ostta11g02720" " Acyltransferase 3"
"ostta12g00600" " unnamed product"
"ostta12g01680" " F-box domain"
"ostta13g00060" " G-protein beta WD-40 repeat"
"ostta14g01690" " Triose-phosphate transporter domain n/a  Triose-phosphate transporter domain"
"ostta14g01890" " Malate/L-lactate dehydrogenase"
"ostta14g02970" " Isocitrate/isopropylmalate dehydrogenase, conserved site"
"ostta15g00810" " unnamed product"
"ostta16g01220" " unnamed product"
"ostta16g02020" " Asparagine-linked glycosylation protein 1-like n/a  Asparagine-linked glycosylalike"
"ostta17g01810" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain n/a  Peptidyl-prolyl cise, FKBP-type, domain"
"ostta17g02150" " Mitochondrial substrate/solute carrier n/a  Mitochondrial substrate/solute carr"
"ostta18g00960" " Armadillo-type fold"
"ostta20g00210" " HAD-superfamily hydrolase, subfamily IIA"
