ostta	atha
ostta01g00020	AT1G07110
ostta01g00030	AT2G41451
ostta01g00040	AT1G79750
ostta01g00050	AT1G79610
ostta01g00060	AT2G01670
ostta01g00090	AT2G21790
ostta01g00100	AT3G15080
ostta01g00120	AT3G01060
ostta01g00130	AT1G75270
ostta01g00140	AT3G48420
ostta01g00160	AT1G04200
ostta01g00190	AT2G04030
ostta01g00200	AT2G41160
ostta01g00210	AT5G20180
ostta01g00240	AT4G36400
ostta01g00250	AT5G07370
ostta01g00260	AT1G62740
ostta01g00270	AT2G43560
ostta01g00280	AT3G59990
ostta01g00310	AT1G04900
ostta01g00320	AT3G06810
ostta01g00360	AT2G45240
ostta01g00370	AT5G20090
ostta01g00390	AT5G02080
ostta01g00400	AT1G20200
ostta01g00410	AT1G48160
ostta01g00420	AT2G33820
ostta01g00440	AT4G01840
ostta01g00460	AT1G49040
ostta01g00470	AT1G08125
ostta01g00485	AT1G61580
ostta01g00490	AT2G46820
ostta01g00520	AT5G58270
ostta01g00550	AT3G08920
ostta01g00560	AT4G15930
ostta01g00570	AT4G01560
ostta01g00580	AT1G71140
ostta01g00590	AT2G37770
ostta01g00610	AT5G62930
ostta01g00630	AT4G30490
ostta01g00650	AT2G03670
ostta01g00670	AT3G11630
ostta01g00680	AT1G10095
ostta01g00690	AT5G55830
ostta01g00720	AT5G15450
ostta01g00730	AT5G40270
ostta01g00740	AT3G08650
ostta01g00750	AT2G32410
ostta01g00760	AT4G17740
ostta01g00780	AT2G35660
ostta01g00790	AT2G46210
ostta01g00800	AT5G65205
ostta01g00810	AT5G03940
ostta01g00820	AT1G72270
ostta01g00830	AT4G32260
ostta01g00860	AT3G59980
ostta01g00890	AT1G10130
ostta01g00910	AT3G57000
ostta01g00920	AT3G52090
ostta01g00930	AT5G41040
ostta01g00970	AT1G71350
ostta01g00980	AT1G15690
ostta01g00990	AT3G02950
ostta01g01000	AT1G78770
ostta01g01020	AT5G52650
ostta01g01030	AT1G70820
ostta01g01040	AT3G58470
ostta01g01050	AT1G51130
ostta01g01070	AT4G10360
ostta01g01080	AT5G02850
ostta01g01090	AT2G26810
ostta01g01120	AT1G30130
ostta01g01130	AT5G18630
ostta01g01140	AT4G14147
ostta01g01160	AT5G63290
ostta01g01170	AT4G39680
ostta01g01180	AT5G23240
ostta01g01190	AT4G14145
ostta01g01200	AT1G72020
ostta01g01210	AT4G31720
ostta01g01220	AT2G31890
ostta01g01230	AT3G07630
ostta01g01270	AT2G31970
ostta01g01290	AT1G62780
ostta01g01295	AT4G14870
ostta01g01320	AT5G02270
ostta01g01340	AT4G03560
ostta01g01370	AT5G19680
ostta01g01380	AT1G51610
ostta01g01410	AT5G54130
ostta01g01420	AT2G39670
ostta01g01440	AT2G35610
ostta01g01450	AT5G13280
ostta01g01460	AT1G25350
ostta01g01470	AT2G37410
ostta01g01480	AT4G11370
ostta01g01490	AT2G40930
ostta01g01500	AT2G36530
ostta01g01510	AT2G45790
ostta01g01520	AT5G43680
ostta01g01530	AT1G71220
ostta01g01550	AT5G04430
ostta01g01560	AT1G42970
ostta01g01570	AT1G22180
ostta01g01580	AT1G03760
ostta01g01590	AT1G75330
ostta01g01600	AT5G57870
ostta01g01610	AT1G49350
ostta01g01640	AT5G04250
ostta01g01670	AT1G03330
ostta01g01680	AT4G13730
ostta01g01690	AT5G13410
ostta01g01700	AT3G04610
ostta01g01710	AT2G32640
ostta01g01720	AT4G21710
ostta01g01740	AT2G28450
ostta01g01750	AT4G38890
ostta01g01770	AT1G75340
ostta01g01780	AT2G41860
ostta01g01790	AT5G46840
ostta01g01800	AT5G28750
ostta01g01810	AT1G73320
ostta01g01820	AT4G28030
ostta01g01830	AT3G08530
ostta01g01850	AT3G63520
ostta01g01855	AT4G32770
ostta01g01860	AT3G21300
ostta01g01880	AT3G48210
ostta01g01890	AT5G38840
ostta01g01940	AT3G07670
ostta01g01950	AT1G07360
ostta01g01980	AT1G09795
ostta01g01990	AT1G05620
ostta01g02010	AT1G43900
ostta01g02020	AT5G10190
ostta01g02050	AT1G22200
ostta01g02080	AT1G14345
ostta01g02120	AT1G18340
ostta01g02130	AT2G23840
ostta01g02160	AT1G71840
ostta01g02170	AT5G23140
ostta01g02180	AT4G35470
ostta01g02210	AT5G23860
ostta01g02220	AT1G24360
